X,Y,OffenceNum,CaseDate,CaseType,CaseStatus,LienStatus,ParcelNo,CouncilDistrict,City,STATE,Zip,ComplaintRem,OBJECTID,ParcelNo_X,ParcelNo_Y,Address1,Year,Month,GlobalID,created_user,created_date,last_edited_user,last_edited_date
503492.95567267,681344.843087427,C00118992,2021/05/21,NUISANCE,CLOSED,NA,11 06 14 1 005 002.002,DISTRICT 4,,AL,,,12,1.08388944,11.10388889,,2021,5,{6FCE2D52-33AD-4A25-B72D-66EB486A26A5},,,HNAM,2025/03/19 20:12:07+00
503527.150486171,681345.51697059,C00118993,2021/05/21,NUISANCE,CLOSED,NA,11 06 14 1 005 002.003,DISTRICT 4,,AL,,,13,1.08388972,11.10388889,,2021,5,{54541350-00D1-4D08-8049-812717CD71CF},,,HNAM,2025/03/19 20:12:07+00
503562.55199017,681345.818479173,C00118994,2021/05/21,NUISANCE,CLOSED,NA,11 06 14 1 005 002.004,DISTRICT 4,,AL,,,14,1.08389,11.10388889,,2021,5,{B4EF4524-7AF2-403F-B093-33A3FE1AE8AF},,,HNAM,2025/03/19 20:12:07+00
503610.838639002,681347.166245513,C00118995,2021/05/21,NUISANCE,CLOSED,NA,11 06 14 1 005 002.005,DISTRICT 4,,AL,,,15,1.08389028,11.10388889,,2021,5,{69F41C08-24B3-4108-B2B5-F1E8448C9EBA},,,HNAM,2025/03/19 20:12:07+00
503610.838639002,681347.166245513,C00118996,2021/05/21,NUISANCE,CLOSED,NA,11 06 14 1 005 002.005,DISTRICT 4,,AL,,,16,1.08389028,11.10388889,,2021,5,{4F17D58C-DA09-4EC1-A02D-AB0625E2F2F0},,,HNAM,2025/03/19 20:12:07+00
539452.10324242,661257.522041678,C00119536,2021/06/02,NUISANCE,CLOSED,NA,10 07 36 4 000 002.081,NO DISTRICT,,AL,,,17,4.00057806,10.12666667,,2021,6,{24E266B1-F2A4-440F-A222-D389A197770B},,,HNAM,2025/03/19 20:12:07+00
535729.86265542,654761.497304089,C00119730,2021/06/03,NUISANCE,CLOSED,NA,15 01 11 1 000 028.000,DISTRICT 6,,AL,,,18,1.00777778,15.01972222,,2021,6,{221F86B1-BE04-44B8-B79D-6BA3A33E501E},,,HNAM,2025/03/19 20:12:07+00
510401.104586005,665084.711893842,C00121294,2021/07/01,NUISANCE,OPEN,Lien Filed,10 09 31 2 003 044.001,DISTRICT 7,,AL,,,19,2.0622225,10.15861111,,2021,7,{6A171FBC-765E-423D-B81D-305DA6276D78},,,HNAM,2025/03/19 20:12:07+00
541247.517302502,700570.024781339,C00121812,2021/07/12,NUISANCE,CLOSED,NA,04 07 25 4 001 001.002,DISTRICT 2,,AL,,,20,4.016945,4.12361111,,2021,7,{21362CFD-45DC-4FD3-95ED-E93C2E382A0A},,,HNAM,2025/03/19 20:12:07+00
542100.272486754,702383.659277424,C00121822,2021/07/12,NUISANCE,CLOSED,NA,05 09 30 2 000 011.001,NO DISTRICT,,AL,,THE GRASS HAS TO BE CUT ALL THE WAY TO FULLER RD. AND THAT INCLUDES THE RIGHT OF WAY.,21,2.00305583,5.15833333,,2021,7,{1EB61860-28A2-4E5F-9B12-0ED33F7B3867},,,HNAM,2025/03/19 20:12:07+00
,,C00124175,2021/08/16,NUISANCE,CLOSED,NA,,,,,,,22,,,,2021,8,{6DC113A6-B84F-4825-A09C-76D3CC409A20},,,HNAM,2025/03/19 20:12:07+00
513097.606738921,690188.578024596,C00136301,2022/06/21,NUISANCE,OPEN,NA,10 03 06 1 007 007.000,DISTRICT 3,,AL,,,23,1.11861111,10.05166667,,2022,6,{D45AB8A3-13C9-4650-AC03-60DB0E3C2612},,,HNAM,2025/03/19 20:12:07+00
564819.169634171,671926.416058175,C00132624,2022/04/27,NUISANCE,CLOSED,NA,09 06 23 3 004 021.000,NO DISTRICT,,AL,,"ALL THE GRASS, TRASH, DEBRIS, TREE LIMBS NEEDS TO BE TAKEN CARE OF.",24,3.0725,9.10638889,,2022,4,{F06B8136-BDAD-4D7B-B987-A702D8BEBD02},,,HNAM,2025/03/19 20:12:07+00
,,C00127786,2021/12/01,NUISANCE,CLOSED,NA,,,,,,,25,,,,2021,12,{C2495923-60CD-456B-B9AA-A5A4277FA390},,,,
518029.909866419,688040.138751924,C00137153,2022/07/07,NUISANCE,CLOSED,NA,10 03 05 4 013 020.000,DISTRICT 3,,AL,,,26,4.22222222,10.05138889,,2022,7,{83D8753B-BD75-48B3-9A5D-D9E0A34A8C3F},,,HNAM,2025/03/19 20:12:07+00
,,C00127785,2021/12/01,NUISANCE,CLOSED,NA,,,,,,,27,,,,2021,12,{6B237869-E6D9-474B-9B19-09B4058D7370},,,HNAM,2025/03/19 20:12:07+00
505932.015427087,671822.866396509,C00138579,2022/07/28,NUISANCE,OPEN,Lien Filed,11 06 24 3 015 032.000,DISTRICT 4,,AL,,,28,3.25888889,11.10666667,,2022,7,{6EB8994B-3988-42FB-AE97-48DACBE74643},,,HNAM,2025/03/19 20:12:07+00
513097.606738921,690188.578024596,C00138678,2022/07/29,NUISANCE,OPEN,Lien Filed,10 03 06 1 007 007.000,DISTRICT 3,,AL,,,29,1.11861111,10.05166667,,2022,7,{288D3CFB-0C63-4A3A-A275-4B0DA99F2EE7},,,HNAM,2025/03/19 20:12:07+00
536120.407149922,674582.827412009,C00137240,2022/07/11,NUISANCE,CLOSED,Lien Released,10 06 24 2 002 001.012,DISTRICT 5,,AL,,KEEP IT CUT EVERY 3 OR 4 WEEKS,30,2.03361444,10.10666667,,2022,7,{2AB0E6AE-404B-4F27-B1AB-734424BEF9A3},,,HNAM,2025/03/19 20:12:07+00
480026.829704754,690997.144977011,C00140201,2022/08/23,NUISANCE,OPEN,NA,11 03 06 2 006 001.013,DISTRICT 4,,AL,,,31,2.10028139,11.05166667,,2022,8,{E7F3071C-6B54-460E-92A5-7C1FA9E5879B},,,HNAM,2025/03/19 20:12:07+00
544384.551710837,691236.79279168,C00136508,2022/06/24,NUISANCE,CLOSED,NA,09 03 06 1 001 001.010,DISTRICT 2,,AL,,,32,1.01694722,9.05166667,,2022,6,{5858FC11-AB96-46E9-836C-36058E81289C},,,HNAM,2025/03/19 20:12:07+00
544384.551710837,691236.79279168,C00139560,2022/08/12,NUISANCE,CLOSED,NA,09 03 06 1 001 001.010,DISTRICT 2,,AL,,THERE IS A TREE DOWN BEHIND 1313 DUNBARTON RD. THAT HAS TO BE CUT UP AND REMOVED.,33,1.01694722,9.05166667,,2022,8,{85B5F6D7-4C17-4198-891B-41ABDB8C6649},,,HNAM,2025/03/19 20:12:07+00
523296.880959753,685218.796625592,C00140093,2022/08/22,NUISANCE,CLOSED,NA,10 02 09 1 011 039.000,DISTRICT 1,,AL,,,34,1.19416667,10.03583333,,2022,8,{B4105524-8243-49C8-B652-FC06E4D387F7},,,HNAM,2025/03/19 20:12:07+00
523414.480790172,685026.769778676,C00140425,2022/08/29,NUISANCE,OPEN,NA,10 02 09 1 011 050.000,DISTRICT 1,,AL,,,35,1.19722222,10.03583333,,2022,8,{8D14CD8A-E4E8-40DA-90B8-4C96D8F52A72},,,HNAM,2025/03/19 20:12:07+00
523351.990101505,685008.873160928,C00140424,2022/08/29,NUISANCE,CLOSED,Lien Released,10 02 09 1 011 049.000,DISTRICT 1,,AL,,,36,1.19694444,10.03583333,,2022,8,{DF36421F-D4D7-4250-A8B1-68CCAB689547},,,HNAM,2025/03/19 20:12:07+00
523474.563019086,685043.972172089,C00140426,2022/08/29,NUISANCE,CLOSED,NA,10 02 09 1 011 051.000,DISTRICT 1,,AL,,,37,1.1975,10.03583333,,2022,8,{ED348064-AC80-4771-824A-B6914ED48674},,,HNAM,2025/03/19 20:12:07+00
523296.880959753,685218.796625592,C00140427,2022/08/29,NUISANCE,CLOSED,NA,10 02 09 1 011 039.000,DISTRICT 1,,AL,,,38,1.19416667,10.03583333,,2022,8,{0B7428DF-5F1B-4E9C-A931-CAB988135ED2},,,HNAM,2025/03/19 20:12:07+00
564819.169634171,671926.416058175,C00140621,2022/08/31,NUISANCE,OPEN,NA,09 06 23 3 004 021.000,NO DISTRICT,,AL,,,39,3.0725,9.10638889,,2022,8,{E7705267-25ED-4219-838E-C28F23380E03},,,HNAM,2025/03/19 20:12:07+00
564819.169634171,671926.416058175,C00141244,2022/09/12,NUISANCE,CLOSED,NA,09 06 23 3 004 021.000,NO DISTRICT,,AL,,,40,3.0725,9.10638889,,2022,9,{540836AE-0259-4410-A40C-081D6F58078C},,,HNAM,2025/03/19 20:12:07+00
536120.407149922,674582.827412009,C00141884,2022/09/22,NUISANCE,CLOSED,Lien Released,10 06 24 2 002 001.012,DISTRICT 5,,AL,,ALL NEEDS TO BE CUT AND KELP CUT EVERY TWO WEEKS.,41,2.03361444,10.10666667,,2022,9,{AC1A4BA7-CBCC-41BB-954A-626119734F1F},,,HNAM,2025/03/19 20:12:07+00
536120.407149922,674582.827412009,C00147163,2023/04/19,NUISANCE,CLOSED,NA,10 06 24 2 002 001.012,DISTRICT 5,,AL,,ALSO NEED TO CUT THE DITCHES IN THE APT BUILDING AREA ALSO.,42,2.03361444,10.10666667,,2023,4,{981D5B75-8B6A-4A07-AA30-37C0A5B74674},,,HNAM,2025/03/19 20:12:07+00
513097.606738921,690188.578024596,C00145252,2023/03/15,NUISANCE,OPEN,Lien Filed,10 03 06 1 007 007.000,DISTRICT 3,,AL,,,43,1.11861111,10.05166667,,2023,3,{AAA271D4-6ECB-4BAD-8F6A-A535D000A795},,,HNAM,2025/03/19 20:12:07+00
513097.606738921,690188.578024596,C00148822,2023/05/12,NUISANCE,OPEN,NA,10 03 06 1 007 007.000,DISTRICT 3,,AL,,,44,1.11861111,10.05166667,,2023,5,{8A6D5B2B-0C0F-4F77-9928-2B3F3668DBBE},,,HNAM,2025/03/19 20:12:07+00
503403.33577317,676024.589948423,C00142971,2022/10/25,NUISANCE,OPEN,NA,11 06 23 1 012 004.000,DISTRICT 4,,AL,,,45,1.20111111,11.10638889,,2022,10,{527B0CCC-6AED-460B-8DFB-66EDEE406A20},,,HNAM,2025/03/19 20:12:07+00
505932.015427087,671822.866396509,C00150963,2023/06/21,NUISANCE,CLOSED,NA,11 06 24 3 015 032.000,DISTRICT 4,,AL,,,46,3.25888889,11.10666667,,2023,6,{1DEF4C13-D099-4767-85ED-1B606F1E360A},,,HNAM,2025/03/19 20:12:07+00
505932.015427087,671822.866396509,C00154968,2023/08/11,NUISANCE,OPEN,Lien Filed,11 06 24 3 015 032.000,DISTRICT 4,,AL,,,47,3.25888889,11.10666667,,2023,8,{380BA236-F88F-47FE-8F2C-B4FD34C28A3C},,,HNAM,2025/03/19 20:12:07+00
538054.160500254,687455.604159839,C00147876,2023/04/28,NUISANCE,CLOSED,NA,10 01 01 3 007 011.001,DISTRICT 1,,AL,,,48,3.1197225,10.01694444,,2023,4,{5F362997-F2AB-4D53-A9E8-2475D415E46B},,,HNAM,2025/03/19 20:12:07+00
538054.160500254,687455.604159839,C00149917,2023/06/05,NUISANCE,OPEN,NA,10 01 01 3 007 011.001,DISTRICT 1,,AL,,,49,3.1197225,10.01694444,,2023,6,{3F6BCFB5-7341-40A4-8AE5-1713FB126299},,,HNAM,2025/03/19 20:12:07+00
536120.407149922,674582.827412009,C00155746,2023/08/24,NUISANCE,CLOSED,NA,10 06 24 2 002 001.012,DISTRICT 5,,AL,,,50,2.03361444,10.10666667,,2023,8,{087C236F-303B-43D4-95E9-01DD128F3787},,,HNAM,2025/03/19 20:12:07+00
513097.606738921,690188.578024596,C00157180,2023/09/22,NUISANCE,OPEN,Lien Filed,10 03 06 1 007 007.000,DISTRICT 3,,AL,,,51,1.11861111,10.05166667,,2023,9,{A99B2606-60EF-4FD2-812E-9467EADD5AEB},,,HNAM,2025/03/19 20:12:07+00
563947.428923588,674057.71921026,C00158560,2023/11/13,NUISANCE,CLOSED,NA,09 06 23 3 000 005.000,NO DISTRICT,,AL,,MUST KEEP IT CUT.,52,3.00138889,9.10638889,,2023,11,{D771A26B-8B4A-4322-8A66-910B5906CB9E},,,HNAM,2025/03/19 20:12:07+00
563947.428923588,674057.71921026,C00158585,2023/11/14,NUISANCE,CLOSED,NA,09 06 23 3 000 005.000,NO DISTRICT,,AL,,,53,3.00138889,9.10638889,,2023,11,{A46EAF22-2A86-425E-839A-0B44E18CF084},,,HNAM,2025/03/19 20:12:07+00
544384.551710837,691236.79279168,C00163952,2024/05/07,NUISANCE,CLOSED,NA,09 03 06 1 001 001.010,DISTRICT 2,,AL,,,54,1.01694722,9.05166667,,2024,5,{07B5E16B-7074-416D-8E4A-540101734775},,,HNAM,2025/03/19 20:12:07+00
505932.015427087,671822.866396509,C00167472,2024/07/12,NUISANCE,OPEN,Lien Filed,11 06 24 3 015 032.000,DISTRICT 4,,AL,,,55,3.25888889,11.10666667,,2024,7,{5E5AD12D-926F-460E-B419-E41B93A86231},,,HNAM,2025/03/19 20:12:07+00
542949.33246842,673617.289644927,C00160225,2024/02/29,REPAIR,CLOSED,NA,09 04 19 3 001 001.085,DISTRICT 9,,AL,,,56,3.01696806,9.07194444,,2024,2,{AC049C1D-7382-42AA-95C8-E574F3565B86},,,HNAM,2025/03/19 20:12:07+00
511917.186199505,685842.632976346,C00169752,2024/08/16,NUISANCE,OPEN,NA,10 03 07 2 012 002.001,NO DISTRICT,,AL,,CUT AREA ALONG STREET ALSO,57,2.20055583,10.05194444,,2024,8,{56094060-C899-472C-BC34-7534B4E26D9C},,,HNAM,2025/03/19 20:12:07+00
480870.328017753,659112.516817257,C00159506,2024/01/18,NUISANCE,OPEN,NA,14 03 06 1 008 016.000,DISTRICT 4,,AL,,3 JUNK VEHICLES ON PROPERTY  1 VAN TRUCK  1 WHITE CAR BESIDE VAN TRUCK  AND 1 GREEN DARK COLORED 4 DOOR CAR  ALSO ANY FALLEN TREES IN AREA NEED TO BE REMOVED,58,1.13777778,14.05166667,,2024,1,{5644FA9E-80B7-448C-810B-727CE9483D11},,,HNAM,2025/03/19 20:12:07+00
536120.407149922,674582.827412009,C00170519,2024/09/11,NUISANCE,OPEN,NA,10 06 24 2 002 001.012,DISTRICT 5,,AL,,CUT THE TWO DITCHES BESIDE THE OFFICE TO THE APT. COMPLEX. AND PLEASE KEEP IT CUT AND CLEANED UP.,59,2.03361444,10.10666667,,2024,9,{C6396459-87AC-40FF-8465-EB4CE46E85BE},,,HNAM,2025/03/19 20:12:07+00
538547.731691588,676902.629530929,C00161885,2024/04/02,NUISANCE,OPEN,NA,10 06 13 3 000 008.000,DISTRICT 9,,AL,,,61,3.00222222,10.10361111,,2024,4,{CADD39D9-5A0B-4B05-98F6-997C7CF18AB0},,,HNAM,2025/03/19 20:12:07+00
505035.98211417,675242.931406759,C00171613,2024/10/16,NUISANCE,OPEN,Lien Filed,11 06 24 2 004 031.000,NO DISTRICT,,AL,,,62,2.07527778,11.10666667,,2024,10,{819B1DB0-94DE-44FF-A7A7-A3DAB93C6873},,,HNAM,2025/03/19 20:12:07+00
507291.564873338,677237.017969757,C00128842,2022/01/26,NUISANCE,CLOSED,NA,11 06 13 4 014 037.000,DISTRICT 7,MONTGOMERY,AL,36104,"ALL VEHICLES ON PROPERTY, INCLUDING GRAY CADILLAC DEVILLE, MUST BE IN AN OPERABLE CONDITION WITH ALL TIRES INFLATED AND CAPABLE OF BEING DRIVEN SAFELY ON THE STREET OR MUST BE REMOVED",63,4.24361111,11.10361111,1267 AARON ST,2022,1,{6C2646CC-1E35-4A7B-BD5C-F07D9DFF5904},,,HNAM,2025/03/19 20:12:07+00
507291.564873338,677237.017969757,C00127878,2021/12/06,NUISANCE,CLOSED,NA,11 06 13 4 014 037.000,DISTRICT 7,MONTGOMERY,AL,36104,,64,4.24361111,11.10361111,1267 AARON ST,2021,12,{0DB01FF0-074A-407F-BB5B-26866C81835D},,,HNAM,2025/03/19 20:12:07+00
507367.833421588,676890.111839429,C00124774,2021/08/26,NUISANCE,CLOSED,NA,11 06 13 4 024 001.000,DISTRICT 7,MONTGOMERY,AL,36104,,65,4.40027778,11.10361111,1401 AARON ST,2021,8,{5773FC0F-452D-4C96-92FE-1752658B916C},,,HNAM,2025/03/19 20:12:07+00
507367.833421588,676890.111839429,C00126049,2021/09/27,REPAIR,CLOSED,NA,11 06 13 4 024 001.000,DISTRICT 7,MONTGOMERY,AL,36104,,66,4.40027778,11.10361111,1401 AARON ST,2021,9,{7F4C3F6B-585E-4B56-8571-047E2113EE88},,,HNAM,2025/03/19 20:12:07+00
507367.833421588,676890.111839429,C00118071,2021/05/05,NUISANCE,CLOSED,NA,11 06 13 4 024 001.000,DISTRICT 7,MONTGOMERY,AL,36104,,67,4.40027778,11.10361111,1401 AARON ST,2021,5,{A4E4D104-5C4B-4907-8FB7-EFC5C20C258F},,,HNAM,2025/03/19 20:12:07+00
507291.564873338,677237.017969757,C00126777,2021/10/14,NUISANCE,CLOSED,NA,11 06 13 4 014 037.000,DISTRICT 7,MONTGOMERY,AL,36104,,68,4.24361111,11.10361111,1267 AARON ST,2021,10,{50C88292-5252-45D8-AF10-A31B30F092DE},,,HNAM,2025/03/19 20:12:07+00
507291.564873338,677237.017969757,C00126778,2021/10/14,NUISANCE,CLOSED,NA,11 06 13 4 014 037.000,DISTRICT 7,MONTGOMERY,AL,36104,,69,4.24361111,11.10361111,1267 AARON ST,2021,10,{217C8806-F079-468B-B2A2-EE05441949DC},,,HNAM,2025/03/19 20:12:07+00
507290.722683422,677275.376160756,C00126780,2021/10/14,NUISANCE,CLOSED,NA,11 06 13 4 014 036.000,DISTRICT 7,MONTGOMERY,AL,36104,,70,4.24333333,11.10361111,1261 AARON ST,2021,10,{3ECB5246-6F15-4649-8E98-B24D17D3461F},,,HNAM,2025/03/19 20:12:07+00
507390.393087752,676369.847460009,C00124772,2021/08/26,NUISANCE,CLOSED,NA,11 06 24 1 005 001.000,DISTRICT 7,MONTGOMERY,AL,36104,,71,1.08361111,11.10666667,1501 AARON ST,2021,8,{2992D8AB-22FF-46D8-8FBE-E89AE5080AD7},,,HNAM,2025/03/19 20:12:07+00
507290.722683422,677275.376160756,C00126781,2021/10/14,NUISANCE,CLOSED,NA,11 06 13 4 014 036.000,DISTRICT 7,MONTGOMERY,AL,36104,,72,4.24333333,11.10361111,1261 AARON ST,2021,10,{D9010DAA-6002-4BB7-976A-AB7B6DDB1336},,,HNAM,2025/03/19 20:12:07+00
507290.722683422,677275.376160756,C00129411,2022/02/22,DEMOLITION,OPEN,Lien Filed,11 06 13 4 014 036.000,DISTRICT 7,MONTGOMERY,AL,36104,,73,4.24333333,11.10361111,1261 AARON ST,2022,2,{2AFEA739-4244-4D6B-9C2E-C0AD22CCAFB8},,,HNAM,2025/03/19 20:12:07+00
507170.052977253,675905.01275976,C00124773,2021/08/26,NUISANCE,CLOSED,NA,11 06 24 1 007 009.000,DISTRICT 7,MONTGOMERY,AL,36104,,74,1.11916667,11.10666667,1616 AARON ST,2021,8,{F4694D24-47E9-414A-AD00-73144CC4A7FE},,,HNAM,2025/03/19 20:12:07+00
515053.097578589,682920.539083011,C00151291,2023/06/28,NUISANCE,CLOSED,NA,10 03 08 3 008 001.000,DISTRICT 3,MONTGOMERY,AL,36104,,75,3.13361111,10.05222222,1301 ADAMS AVE,2023,6,{DA2EB515-7205-4426-A37F-667420EB7B2C},,,HNAM,2025/03/19 20:12:07+00
507170.052977253,675905.01275976,C00169457,2024/08/13,NUISANCE,CLOSED,NA,11 06 24 1 007 009.000,DISTRICT 7,MONTGOMERY,AL,36104,,76,1.11916667,11.10666667,1616 AARON ST,2024,8,{ECCA86DE-B6C6-4844-B0D3-74C29C1285B5},,,HNAM,2025/03/19 20:12:07+00
544023.155780088,691238.103484593,C00124924,2021/08/30,NUISANCE,CLOSED,NA,09 03 06 1 001 001.004,DISTRICT 2,MONTGOMERY,AL,36117,,77,1.01694556,9.05166667,5825 ACACIA CT,2021,8,{054E53CC-B734-4D91-81CD-DFA319E2B883},,,HNAM,2025/03/19 20:12:07+00
544023.155780088,691238.103484593,C00125088,2021/09/02,OPEN VACANT,CLOSED,NA,09 03 06 1 001 001.004,DISTRICT 2,MONTGOMERY,AL,36117,,78,1.01694556,9.05166667,5825 ACACIA CT,2021,9,{876EFDE0-72A4-42E8-9988-F658F6A41CB8},,,HNAM,2025/03/19 20:12:07+00
544023.155780088,691238.103484593,C00140174,2022/08/23,NUISANCE,CLOSED,NA,09 03 06 1 001 001.004,DISTRICT 2,MONTGOMERY,AL,36117,,79,1.01694556,9.05166667,5825 ACACIA CT,2022,8,{08AEBE1B-D51A-4D31-835D-0003778B998E},,,HNAM,2025/03/19 20:12:07+00
513894.981128421,682361.152406506,C00150829,2023/06/15,NUISANCE,OPEN,Lien Filed,10 03 07 4 032 002.000,DISTRICT 3,MONTGOMERY,AL,36104,,80,4.53388889,10.05194444,1038 ADAMS AVE,2023,6,{5449A14D-2691-45A7-93E8-1AAA8C6EE279},,,HNAM,2025/03/19 20:12:07+00
515067.27504367,682285.189303845,C00157442,2023/09/29,NUISANCE,OPEN,Lien Filed,10 03 08 3 010 010.000,DISTRICT 3,MONTGOMERY,AL,36104,,81,3.16944444,10.05222222,1300 ADAMS AVE,2023,9,{7E073850-C6DD-44DE-B793-0ECFA186D24E},,,HNAM,2025/03/19 20:12:07+00
515067.27504367,682285.189303845,C00128976,2022/02/01,NUISANCE,CLOSED,Lien Released,10 03 08 3 010 010.000,DISTRICT 3,MONTGOMERY,AL,36104,,82,3.16944444,10.05222222,1300 ADAMS AVE,2022,2,{51D0BB69-6B5C-41A9-8DC0-54BE7A6E2165},,,HNAM,2025/03/19 20:12:07+00
506202.67564692,678112.826585591,C00153992,2023/07/31,NUISANCE,CLOSED,NA,11 06 13 3 012 007.000,DISTRICT 7,MONTGOMERY,AL,36108,,83,3.20194444,11.10361111,1017 ADELINE ST,2023,7,{9BCFB8F6-833D-4C2E-8729-9708E2EE1928},,,HNAM,2025/03/19 20:12:07+00
506202.67564692,678112.826585591,C00133404,2022/05/05,NUISANCE,CLOSED,NA,11 06 13 3 012 007.000,DISTRICT 7,MONTGOMERY,AL,36108,,84,3.20194444,11.10361111,1017 ADELINE ST,2022,5,{F574D721-A84A-442D-A735-84953923E7D0},,,HNAM,2025/03/19 20:12:07+00
506202.67564692,678112.826585591,C00139894,2022/08/18,NUISANCE,CLOSED,NA,11 06 13 3 012 007.000,DISTRICT 7,MONTGOMERY,AL,36108,,85,3.20194444,11.10361111,1017 ADELINE ST,2022,8,{AA40C875-DAC4-4DA0-ADDA-06D8F89A913F},,,HNAM,2025/03/19 20:12:07+00
515067.27504367,682285.189303845,C00116165,2021/04/13,NUISANCE,CLOSED,Lien Released,10 03 08 3 010 010.000,DISTRICT 3,MONTGOMERY,AL,36104,,86,3.16944444,10.05222222,1300 ADAMS AVE,2021,4,{64E8DF94-D0C6-483A-8917-55682FB0EA04},,,HNAM,2025/03/19 20:12:07+00
505972.869676087,678502.952117674,C00166833,2024/07/02,NUISANCE,OPEN,NA,11 06 13 3 014 017.000,DISTRICT 7,MONTGOMERY,AL,36108,,87,3.23805556,11.10361111,922 ADELINE ST,2024,7,{B70365A9-F59B-4809-9F20-79A7BA5305DF},,,HNAM,2025/03/19 20:12:07+00
505972.869676087,678502.952117674,C00130480,2022/03/24,REPAIR,CLOSED,NA,11 06 13 3 014 017.000,DISTRICT 7,MONTGOMERY,AL,36108,,88,3.23805556,11.10361111,922 ADELINE ST,2022,3,{13854F33-8B3A-4F8F-9F0C-99192B73D843},,,HNAM,2025/03/19 20:12:07+00
506196.786551088,678466.912819676,C00169309,2024/08/09,NUISANCE,OPEN,NA,11 06 13 3 013 019.000,DISTRICT 7,MONTGOMERY,AL,36108,,89,3.22194444,11.10361111,927 ADELINE ST,2024,8,{78B5A5C0-4206-4790-8F92-042968E3C026},,,HNAM,2025/03/19 20:12:07+00
506196.786551088,678466.912819676,C00128621,2022/01/14,NUISANCE,CLOSED,Lien Released,11 06 13 3 013 019.000,DISTRICT 7,MONTGOMERY,AL,36108,,90,3.22194444,11.10361111,927 ADELINE ST,2022,1,{AA00F017-05E6-4406-A057-100616D78391},,,HNAM,2025/03/19 20:12:07+00
