X,Y,OBJECTID,FacilityName,LicenseeName,Director,Phone,Address,City,ZipCode,Day_Hours,Day_Ages,Day_Capacity,Night_Hours,Night_Ages,Night_Capacity,Status,License_Ex,Consultant,ContactPerson,Notes,LastUpdate,LastEditor,created_user,created_date,last_edited_user,last_edited_date
-9607297.07699626,3810602.61378201,34,CHURCH OF THE ASCENSION,,MURREY ZIMMERMAN,(334)261-7974,315 CLANTON AVENUE,MONTGOMERY,36104,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9607611.10146993,3812532.75858705,35,CHILDREN'S LEARNING CENTER,,KIMBERLY HERBERT,(334)834-7475,305 SOUTH PERRY STREET,MONTGOMERY,36104,06:30 AM - 05:30 PM,6 WKS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9604516.86661108,3818415.54181937,36,CHISHOLM ELEM HEAD START PROGRAM,,LATONYA SLAYTON,(334)263-3474,307 E. VANDIVER BLVD,MONTGOMERY,36106,06:30 AM - 07:00 PM,3 YRS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9600141.78930762,3803988.05446259,37,CENTURY 2000 DAY CARE & NIGHTTIME CENTER,,CARLINE DERAMUS,(334)288-7740,4714 VIRGINIA LOOP ROAD,MONTGOMERY,36116,05:00 AM - 07:00 PM,3 WKS Through 15 YRS,,07:00 PM - 12:00 AM,3 WKS Through 15 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9606603.77857781,3809522.94664193,38,CLOVERDALE BAPTIST CHURCH,,ASHLEY TIDWELL,(334)265-7488,608 EAST FAIRVIEW AVENUE,MONTGOMERY,36106,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9608671.87041987,3810630.94706999,39,CULTURAL ARTS HEAD START CENTER,,ERIC HYATT,(334)386-4520,1400 AARON STREET,MONTGOMERY,36108,06:30 AM - 07:00 PM,3 YRS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9610457.10241954,3810380.55639731,40,COMMON GROUND MONTGOMERY PRESCHOOL,,LASARA QUINN,(334)676-2299,1623 MOBILE ROAD,MONTGOMERY,36108,07:00 AM - 03:00 PM,4 YRS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9596040.11026172,3817214.77913738,41,DEBORAH SPEARS,,DEBORAH SPEARS,(334)782-8935,1349 SUMMERFIELD PLACE,MONTGOMERY,36117,06:30 AM - 07:00 PM,0 WKS Through 10 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9607802.68857715,3811475.84994202,42,"DOROTHY'S ANGELS CHILDCARE, LLC",,TERESA ELEM,(334)593-8558,789 SOUTH COURT STREET,MONTGOMERY,36104,05:00 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9606083.58320058,3810193.42966345,43,EARLY CHILDHOOD DEVELOPMENT CENTER,,VICKY MOORE,(334)834-8964,2416 W. CLOVERDALE PARK,MONTGOMERY,36106,07:00 AM - 05:30 PM,6 WKS Through 6 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9607037.14261619,3811615.15760449,44,EASTERN OAKS ACADEMY,,DESHOWNE HARRIS,(334)265-0779,500 ARBA STREET,MONTGOMERY,36104,05:30 AM - 07:00 PM,0 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9599330.27095236,3809832.88123266,45,EASTWOOD CHRISTIAN SCHOOL,,JOEL BIUS,(334)272-8195,1701 EAST TRINITY BLVD,MONTGOMERY,36106,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9598811.5217841,3813672.41237841,46,EASTMONT BAPTIST CHURCH,,LYNN BLACKWELL,(334)239-8555,4505 ATLANTA HIGHWAY,MONTGOMERY,36109,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9609226.13213404,3808621.26019415,47,EDGEMONT HEAD START CENTER,,ERIC HYATT,(334)262-2666,830 W EDGEMONT AVENUE,MONTGOMERY,36105,06:30 AM - 07:00 PM,3 YRS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9607349.5061388,3812440.75772689,48,EDUCARE ACADEMY DC & TUTORING SERVICES,,COURTNEY BYNUM,(334)322-7549,312 SCOTT STREET,MONTGOMERY,36104,06:30 AM - 07:00 PM,4 WKS Through 12 YRS,,07:00 PM - 12:00 AM,4 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9601984.348896,3813096.77142899,49,EASTERN HILLS BAPTIST CHURCH,,LISA MONTGOMERY,(334)277-5424,3604 PLEASANT RIDGE ROAD,MONTGOMERY,36109,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9603558.29674101,3813677.02536456,50,EASTWOOD PRESBYTERIAN CHURCH,,DONNA JONES,(334)356-9110,9 ARDEN ROAD,MONTGOMERY,36109,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9604957.58329932,3812013.320936,51,"EDUCARE LEARNING CENTER, LLC.",,COURTNEY BYNUM,(334)262-7227,1901 CHERRY STREET,MONTGOMERY,36107,06:30 AM - 07:00 PM,6 WKS Through 13 YRS,,07:00 PM - 12:00 AM,6 WKS Through 13 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9600338.71348852,3809262.56718393,52,EVANGEL CHURCH,,ROSEMARY HEAN,(334)273-0730,3975 VAUGHN ROAD,MONTGOMERY,36106,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9595902.07215159,3813993.39362283,53,ELC LEARNING CENTER,,COURTNEY BYNUM,(334)593-7133,3442 EASTDALE CIRCLE,MONTGOMERY,36117,06:30 AM - 07:00 PM,0 WKS Through 12 YRS,,07:00 PM - 08:00 PM,0 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9604471.6687798,3813078.05545081,54,EDUCARE LEARNING CENTER LLC,,COURTNEY BYNUM,(334)676-3233,130 S MARYLAND ST,MONTGOMERY,36107,06:30 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9604641.76734748,3813612.95816069,55,EXTRAORDINARY LEADERS ACADEMY LLC,,BRIAN PLEASANT,(334)593-0655,2000 WINONA AVE,MONTGOMERY,36106,05:30 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9601528.83385763,3813819.3917045,56,FAITH CHRISTIAN,,SAMETRA NELSON,(334)201-9849,3734 ATLANTA HIGHWAY,MONTGOMERY,36109,05:00 AM - 07:00 PM,6 WKS Through 12 YRS,,07:00 PM - 12:00 AM,6 WKS Through 12 YRS,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9602855.64893122,3805876.55569163,57,FEED THE LAMB CHILD DEVELOPMENT CENTER,,LILETTA RAINES-HILL,(334)356-9450,3100 WOODLEY ROAD,MONTGOMERY,36116,06:00 AM - 06:00 PM,6 WKS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9597615.28038918,3813320.59205306,58,FAULKNER UNIVERSITY PRE-K,,SANDRA LEDWELL,(334)386-7106,5344 ATLANTA HWY,MONTGOMERY,36108,07:00 AM - 06:00 PM,4 YRS Through 5 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9606083.58320058,3810193.42966345,59,FIRST UNITED METHODIST CHURCH,,VIRGINIA WILKERSON,(334)834-8990,2416 WEST CLOVERDALE PARK,MONTGOMERY,,,N/A,,,N/A,,Exempt Center,,,,Exempt Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9602424.06716527,3808981.89887932,60,GIFTS AND GIGGLES HOME DAYCARE,,ERICA FRAZIER-HODRICK,(334)328-7381,3316 WALTON DRIVE,MONTGOMERY,36111,06:00 AM - 06:00 PM,0 WKS Through 10 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9599145.0381357,3815118.15882827,61,G & G'S PLAYHOUSE NIGHT-CARE,,AVIS STALLWORTH,(334)652-2144,752 LEDYARD PLACE,MONTGOMERY,36109,06:00 PM - 06:00 AM,5 YRS Through 12 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9599452.50291785,3810150.9922318,62,GOD'S LITTLE ANGELS,,BRIGETTE BRYANT,(334)430-4042,1617 CHATEAU CIRCLE,MONTGOMERY,36106,06:00 AM - 05:00 PM,0 WKS Through 5 YRS,,,N/A,,Licensed Family,,,,Licensed Family,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
-9607365.08832457,3806360.41862918,63,FUTURE GENERATIONS LEARNING CTR & SCHOOL,,CALLIE ZINNERMAN,(334)593-5100,109 EAST SOUTH BOULEVARD,MONTGOMERY,36105,06:30 AM - 06:00 PM,2 MOS Through 12 YRS,,,N/A,,Licensed Center,,,,Licensed Center,2024/09/20,IAM - updated from DHR Interactive Map 9/16/24,ABOWEN,2024/09/20 17:43:46+00,ABOWEN,2024/09/21 04:48:43+00
