X,Y,OBJECTID,KIOSK_ID,PARKMOBILE_ZONE,BLOCK,SPACES,NOTES
509054.451767497,683403.840937905,55,K-49,36075,99 Blk Commerce St_West side,8,Kiosk located near space 4
509347.835038997,682967.718450576,56,K-50,36054,99 Blk S Court St_East side,9,"Parallel spaces; kiosk located near space 5"
509797.972262081,683832.649135403,57,K-51,36052,100 Blk N Perry St_East side,6,not placed
509733.417273078,683939.908107236,58,K-53,36053,100 Blk N Perry St_West side,5,"Parallel spaces; kiosk located near space 2"
509792.861379914,683976.319779821,59,K-52,36052,100 Blk N Perry St_East side,6,"Parallel spaces; kiosk located near space 3"
509736.824418496,683842.802658409,60,K-54,36053,100 Blk N Perry St_West side,5,"Parallel spaces; kiosk located near space 3"
509777.710819662,682951.818219908,61,k-55,36051,99 Blk S Perry St_West side,6,"Parallel spaces; kiosk located near space 3"
509770.896528829,683106.846125074,62,K-56,36051,99 Blk S Perry St_West side,5,"Parallel spaces; kiosk located near space 3"
509838.472837247,682891.624114573,63,K-57,36050,99 Blk S Perry St_East side,3,not placed
509828.251072913,683118.771298073,64,K-58,36050,99 Blk S Perry St_East side,7,"Parallel spaces; kiosk located near space 5"
509760.107180327,683416.90160732,65,K-59,36051,99 Blk N Perry St_West side,8,"Parallel spaces; kiosk located near space 4"
509333.07063283,683847.913212486,66,K-60,36055,99 Blk Coosa St_East side,8,"Parallel spaces; kiosk located near space 6"
509176.906903163,683929.686342902,67,K-61,36068,99 Blk Coosa St_West side,5,Kiosk located near space 3
509299.566434745,683773.522613242,68,K-62,36068,99 Blk Coosa St_West side,8,Kiosk located near space 4
508802.954567079,684401.470832407,69,K-63a,36069,100 Blk Coosa St_West side,11,Kiosk located near space 6
508901.081995495,684271.360856406,70,K-63b,36069,100 Blk Coosa St_West side,4,Kiosk located near space 2
508645.587099664,684606.084924489,72,K-64,36069,200 Blk Coosa St_West side,10,Kiosk located near space 7
509362.383238245,683565.264171489,73,K-65,36065,99 Blk Market Plaza_East side,5,"Parallel spaces; kiosk located near space 3"
509523.17655183,682766.103040159,75,K-66a,36034,99 Blk Washington Ave_South side,8,Kiosk located near space 9
509695.91537958,682847.78463532,77,K-67,36057,99 Blk Washington Ave_North side,8,Kiosk located near space 4
509491.664475746,682835.064516403,78,K-68,36057,99 Blk Washington Ave_North side,7,"Spaces split by alley; kiosk located near space 4"
508493.214700997,684384.133596741,79,K-05b,36079,100 Blk Tallapoosa St_North side,7,Kiosk located near space 4
508671.578845579,684444.837871656,80,K-04b,36081,100 Blk Tallapoosa St_South side,4,Kiosk located near space 2
509573.212540995,683642.134424575,81,K-15,36065,99 Blk Monroe St_South side,12,kiosk near Kress building entrance
509684.979705911,682772.036099158,82,K-66b,36034,99 Blk Washington Ave_South side,12,Kiosk located near space 9
508275.196764328,684215.480062656,83,K-03b,36078,200 Blk Tallapoosa St_North side,16,Kiosk located near space 8
510078.760086328,683667.792181656,84,K-17b,36065,100 Blk Monroe St_South side,6,Kiosk located in eastern part of block
