OBJECTID,OffenseNo,Location,Remark,ParcelNo,Type,Date,District,GlobalID,created_user,created_date,last_edited_user,last_edited_date,HearingDate
11,C00172641,52 LONGVIEW CT,"Debris, Litter, Junk, Trash, WeedsEntire Parcel Must Be Cleaned And Rid Of All Junk In Yard",11 05 16 4 009 032.000,NUISANCE,1736208000000,4,{1C5351CB-30C2-4144-A6C5-74407B778E29},,,HNAM,1769178803000,2025/01/07
12,C00172642,105 LONGVIEW CT,"Debris, Litter, Junk, Trash, WeedsEntire Parcel Must Be Cleaned And Rid Of All Junk In Yard",11 05 16 4 003 012.000,NUISANCE,1736208000000,4,{3F36406A-3D94-4687-B6B8-B1F07D71E044},,,HNAM,1769178803000,2025/01/07
13,C00172644,119 LONGVIEW CT,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds1 Blue Suv",11 05 16 4 003 018.001,NUISANCE,1736208000000,4,{6954F523-04AA-47B5-821D-B953EE2D0DE2},,,HNAM,1769178803000,2025/01/07
14,C00172646,123 LONGVIEW CT,"Auto Parts, Bldg. Material, Debris, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds1 Ford Truck1 Blue Van Entire Parcel Must Be Rid Of All Building Material And Rid Of Junk In Yard",11 05 16 4 003 020.000,NUISANCE,1736208000000,4,{CB57E571-D1AD-499B-83E6-E4F12F354FFE},,,HNAM,1769178803000,2025/01/07
15,C00172656,29 WEST PATTON AVE,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Auto Parts And Debris And Inoperable Vehicles On The Lot",11 07 25 4 012 011.000,NUISANCE,1736208000000,4,{82E18E98-EEC2-4E10-BD92-7AD2D316729E},,,HNAM,1769178803000,2025/01/07
16,C00172679,1908 PLUM ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 04 17 1 022 004.000,NUISANCE,1736208000000,3,{9C9DA9B8-BE88-4471-9A3E-A3A2D32B119D},,,HNAM,1769178803000,2025/01/07
17,C00172683,1621 CARTER HILL RD,"Litter, Junk, Trash, Overgrown Grass, WeedsThere Is Litter Junk And Trash And Overgrown Grass.All Over This Property..",10 04 20 2 003 001.000,NUISANCE,1736208000000,7,{8F659B06-6B4A-4F25-B86B-B1F296F33ABA},,,HNAM,1769178803000,2025/01/07
18,C00172685,1709 CROUSON ST,"Appliances, Auto Parts, Bldg. Material, Debris, Junk Vehicles, Litter, Junk, Trash, Weeds — Remove All Scattered Debris From Property Along With Inoperable Vehicles Front/Rear",04 09 32 3 001 007.000,NUISANCE,1736208000000,3,{B448B049-A402-4D61-835C-2FCF44E51542},,,HNAM,1769178803000,2025/01/07
19,C00172712,2801 EAST SOUTH BLVD,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, WeedsCut All The Way Up To The Blvd; Black Mustang; White Nissan",10 08 34 2 002 029.000,NUISANCE,1736208000000,5,{4DA33FC2-3064-47BF-8AD0-59041F766A43},,,HNAM,1769178803000,2025/01/07
20,C00172463,757 HAVELOCK LN,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, WeedsBlue Honda, Silver Honda, Black Suv",09 03 06 4 006 009.000,NUISANCE,1737417600000,2,{B9ED99BF-BD81-4DC8-BF87-CF433FE3E70C},,,HNAM,1769178803000,2025/01/21
21,C00172614,10510 CHANTILLY PKWY,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",09 06 23 2 000 003.001,NUISANCE,1737417600000,9,{58CF1855-D73B-4D46-BFB4-CD24EA82FE40},,,HNAM,1769178803000,2025/01/21
22,C00172714,332 STERLING DR,"Bldg. Material, Litter, Junk, Trash",10 01 11 3 008 017.000,NUISANCE,1737417600000,1,{C4537D0D-1BC8-4E42-AF3B-931CD09729F8},,,HNAM,1769178803000,2025/01/21
23,C00172715,108 LAUDERDALE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 02 04 1 013 028.000,NUISANCE,1737417600000,6,{BEFADE5C-A10A-4EB9-B70F-09F6EE8F81A6},,,HNAM,1769178803000,2025/01/21
24,C00172724,S DICKERSON ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, WeedsREMOVE PILE OF TREE DEBRIS REAR OF PROPERTY/MISC. DEBRIS",11 06 13 2 007 026.000,NUISANCE,1737417600000,4,{DE0DCF81-3352-4732-9C2F-081AD34D136C},,,HNAM,1769178803000,2025/01/21
25,C00172725,532 SOUTH DICKERSON ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 13 2 007 023.000,NUISANCE,1737417600000,4,{7EEA48B8-5B82-4EB5-90F3-AFB074159C77},,,HNAM,1769178803000,2025/01/21
26,C00172726,538 SOUTH DICKERSON ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 13 2 007 022.000,NUISANCE,1737417600000,4,{9CAF6B4F-0329-4975-9817-4C98E003F159},,,HNAM,1769178803000,2025/01/21
27,C00172727,1933 MARIE JAMES CT,"Debris, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Building Debris From Rear Property",10 03 08 1 004 001.000,NUISANCE,1737417600000,3,{918148CF-A7EA-4A44-9195-A6393A727551},,,HNAM,1769178803000,2025/01/21
28,C00172730,4017 WARE HILL DR,"Furniture, Litter, Junk, TrashRemove All Items Off Front Porch",10 02 10 1 001 051.000,NUISANCE,1737417600000,2,{092B1262-37F8-4D15-A289-F990E34FF5F7},,,HNAM,1769178803000,2025/01/21
29,C00172733,3809 FIELDCREST DR,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 08 27 3 008 032.000,NUISANCE,1737417600000,5,{8E61A31B-332D-43FA-B697-F7B29AA2DAF3},,,HNAM,1769178803000,2025/01/21
30,C00172737,3312 WOODLEY RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 08 33 4 013 001.000,NUISANCE,1737417600000,6,{F033C32E-4471-4C03-8171-9E6DFF004C8A},,,HNAM,1769178803000,2025/01/21
31,C00172741,2116 LUVERNE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 14 1 004 005.000,NUISANCE,1737417600000,4,{4B044830-D311-429F-AAF8-C76E4D4B6CB2},,,HNAM,1769178803000,2025/01/21
32,C00172742,2120 LUVERNE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 14 1 004 004.000,NUISANCE,1737417600000,4,{03EFBBCF-578E-4713-A19B-475B241E8001},,,HNAM,1769178803000,2025/01/21
33,C00172743,2126 LUVERNE ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 14 1 004 003.000,NUISANCE,1737417600000,4,{1EC8E485-2608-4C81-BF59-5667DCE4DDAC},,,HNAM,1769178803000,2025/01/21
34,C00172744,410 LORING ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 14 1 009 006.000,NUISANCE,1737417600000,4,{DC11D376-56CE-450C-81C0-61358D6792D1},,,HNAM,1769178803000,2025/01/21
35,C00172746,411 MAY ST,"Debris, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Debris From Property",11 06 14 2 001 002.000,NUISANCE,1737417600000,4,{441AD98F-3E86-442B-816B-93632294267E},,,HNAM,1769178803000,2025/01/21
36,C00172747,1407 BUNTING ST *,"Debris, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Debris All Over Property",11 06 14 2 001 002.001,NUISANCE,1737417600000,4,{D201F4E5-AA91-4F1D-94F5-1D4C6DFDBDBC},,,HNAM,1769178803000,2025/01/21
37,C00172748,1401 BUNTING ST,"Debris, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Debris From Property",11 06 14 2 001 002.002,NUISANCE,1737417600000,4,{C30646B6-9337-4233-9CDB-0C391561D66F},,,HNAM,1769178803000,2025/01/21
38,C00172749,1059 HERRON ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 01 11 4 013 001.000,NUISANCE,1737417600000,4,{DA82F4CB-AA4D-463C-B5F1-01AC9BD49793},,,HNAM,1769178803000,2025/01/21
39,C00172489,3541 WOODPARK DR,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 02 04 3 000 009.000,NUISANCE,1736208000000,6,{91140D38-FC11-4AAE-823B-4762DDC67BDC},,,HNAM,1769178803000,2025/01/07
40,C00171169,115 LONGVIEW CT,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 05 16 4 003 017.000,NUISANCE,1736208000000,4,{B8DCCE21-B428-4059-9525-3FCE46A84724},,,HNAM,1769178803000,2025/01/07
41,C00172750,127 BROADWAY ST,"Debris, Furniture, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Debris From Curb/Property",04 09 32 1 011 006.000,NUISANCE,1737417600000,3,{FD19DE4C-FDC0-4198-A4D9-340923809BF5},,,HNAM,1769178803000,2025/01/21
42,C00172522,1532 WINONA AVE,Pooling/Ponding Of Foul Water,10 03 08 2 022 003.000,NUISANCE,1736208000000,3,{9279F430-D1F7-4873-BFE6-3EFDBA264B5F},,,HNAM,1769178803000,2025/01/07
43,C00172752,3342 TEXAS ST,"Litter, Junk, Trash, Overgrown Grass, WeedsRemove Pile Of Debris Rear Of The Property",04 09 32 4 003 007.000,NUISANCE,1737417600000,3,{8718E874-811F-4E94-83F5-F78BE11DB87E},,,HNAM,1769178803000,2025/01/21
44,C00172770,LINCOLN TER,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 14 4 017 087.000,NUISANCE,1737417600000,4,{D2980FFA-4563-43BC-BA1E-9ED9A523121C},,,HNAM,1769178803000,2025/01/21
45,C00172771,LINCOLN TERR,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 14 4 017 089.000,NUISANCE,1737417600000,4,{BF99E065-245C-4C05-A8C6-DB4A4AEFE30D},,,HNAM,1769178803000,2025/01/21
46,C00172762,3530 MILAN DR,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 02 10 3 016 013.000,NUISANCE,1737417600000,1,{F88AF60B-E0B7-4A83-8B1D-ECDF69CC958D},,,HNAM,1769178803000,2025/01/21
47,C00172786,1607 SANDSTONE CT,"Litter, Junk, Trash, Overgrown Grass, WeedsThere Is Junk And Trash In The Back Yard That Need To Be Taken Care Of Asap",10 06 24 1 002 041.003,NUISANCE,1737417600000,9,{75A3C4E8-46B5-4DF9-8E9F-7BDD6627E1FA},,,HNAM,1769178803000,2025/01/21
48,C00172781,149 SOUTH PANAMA ST,"Debris, Litter, Junk, Trash, Overgrown Grass, WeedsAll Around Dumpster All Types Litter And Junk. Clean Up  Asap",10 02 09 3 008 002.000,NUISANCE,1737417600000,3,{03CEDC09-D92C-469A-96B4-3D0C3213EC98},,,HNAM,1769178803000,2025/01/21
49,C00172789,350 POLK ST,"Bldg. Material, Debris, Furniture, Litter, Junk, Trash, Overgrown Grass, Weeds",10 03 08 4 028 013.000,NUISANCE,1737417600000,3,{47E9E3BF-E452-4B2A-8A41-DD8C1B976903},,,HNAM,1769178803000,2025/01/21
50,C00172791,3541 MANLEY DR,"Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Debris And Inoperable Vehicles",04 09 32 3 005 002.031,NUISANCE,1737417600000,3,{CA27FF90-7AB1-44D3-9441-456046727B37},,,HNAM,1769178803000,2025/01/21
51,C00172792,3513 MANLEY DR,"Debris, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, WeedsRemove The Large Accumulation Of Debris From The Rear Property",04 09 32 3 005 002.008,NUISANCE,1737417600000,3,{A0DCEFED-D91F-4548-9C0A-B89B1065741B},,,HNAM,1769178803000,2025/01/21
52,C00172793,534 ROSA L PARKS AVE,"Carpet, Debris, Furniture, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, WeedsRemove All Scattered Debris From Property Including The Stairwell",11 06 13 2 012 025.000,NUISANCE,1737417600000,7,{A9D85A28-F61F-4503-A76B-8DF588669064},,,HNAM,1769178803000,2025/01/21
53,C00172796,571 VIRGINIA AVE,"Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, WeedsRemove Down Tree From Property",11 06 13 1 008 019.000,NUISANCE,1737417600000,3,{B574A85E-84EA-4D97-BBDA-B385CDC8B4BA},,,HNAM,1769178803000,2025/01/21
54,C00172800,1635 OAK ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 007 010.000,NUISANCE,1737417600000,4,{3950D1A0-368A-43DB-A44B-675D72ECA633},,,HNAM,1769178803000,2025/01/21
55,C00172801,1651 OAK ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 24 2 007 011.000,NUISANCE,1737417600000,4,{D36C0858-397B-493D-A2F1-1A43C0CE6D01},,,HNAM,1769178803000,2025/01/21
56,C00172802,1049 OAK ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 13 3 005 015.000,NUISANCE,1737417600000,4,{3633838B-673D-4522-92FA-BBA2B778D0D2},,,HNAM,1769178803000,2025/01/21
57,C00172810,1922 PLUM ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, WeedsAll At The Rear Of The House Behind Privacy Fence.",10 04 17 1 022 001.000,NUISANCE,1737417600000,3,{99871AE0-5A99-4986-8C01-AD9B81300F4A},,,HNAM,1769178803000,2025/01/21
58,C00172816,6109 OAKLEIGH RD,"Litter, Junk, Trash, Overgrown Grass, Weeds",15 01 02 4 001 016.009,NUISANCE,1737417600000,6,{F649CA49-E8A5-4545-A86A-CD7078FFA1EB},,,HNAM,1769178803000,2025/01/21
59,C00172818,104 COLISEUM BLVD,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",10 02 10 2 003 006.002,NUISANCE,1737417600000,2,{3FEF0694-D160-4F15-84A3-7F337D9ECF58},,,HNAM,1769178803000,2025/01/21
60,C00172819,1416 MADISON AVE,"Debris, Litter, Junk, Trash, Overgrown Grass, Tires, Weeds",10 03 08 3 019 003.000,NUISANCE,1737417600000,3,{EC42E0B5-57BC-4CA1-B015-A0E356926DAC},,,HNAM,1769178803000,2025/01/21
61,C00172820,2545 FAIRGROUND RD,"Bldg. Material, Debris, Litter, Junk, Trash, Overgrown GrassRemove All Scattered Building Debris Bricks And Metal Framing From Property",10 03 05 1 012 001.000,NUISANCE,1737417600000,3,{8D8190D0-F2CF-4961-8021-CB3810ED6E12},,,HNAM,1769178803000,2025/01/21
62,C00172821,2036 UPPER WETUMPKA RD,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",10 03 08 1 019 001.000,NUISANCE,1737417600000,3,{08DE1C81-317F-45FB-A628-C1E843198BD6},,,HNAM,1769178803000,2025/01/21
63,C00172822,4029 SOUTH COURT ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",10 09 30 3 010 014.000,NUISANCE,1737417600000,7,{65E06269-382D-4317-A635-095311B14F65},,,HNAM,1769178803000,2025/01/21
64,C00172823,1341 OLD OAK PL,"Debris, Litter, Junk, Trash, Overgrown Grass, Weeds",09 05 21 3 000 001.028,NUISANCE,1737417600000,9,{5DDB47AF-8624-4428-A0B0-3BD5CD7D2FE0},,,HNAM,1769178803000,2025/01/21
65,C00172828,808 FEDERAL DR,"Debris, Litter, Junk, Trash",10 02 04 3 016 014.000,NUISANCE,1737417600000,2,{68D753AC-ABCE-479F-A9DF-4C77BFFDEFFD},,,HNAM,1769178803000,2025/01/21
66,C00172829,405 FEDERAL DR,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",10 02 09 2 009 017.000,NUISANCE,1737417600000,3,{106949DC-A27F-4EF0-B52C-C215145CE3A1},,,HNAM,1769178803000,2025/01/21
67,C00172832,3340 ASHLEY RD,"Auto Parts, Bldg. Material, Debris, Litter, Junk, Trash, Overgrown Grass, Tires, WoodThis Entire Parcel Must Be Cleaned And Rid Of All Junk,Scrap,Auto Parts And All Other Debris.If The Boat Is Junk It Needs To Be Removed From Parcel. Failure In This Attem",11 05 21 3 003 009.000,NUISANCE,1737417600000,4,{8FC626BF-D6A5-4DCA-9018-7FFEC72BBC7C},,,HNAM,1769178803000,2025/01/21
68,C00172833,4534 WARES FERRY RD,"Bldg. Material, Debris, Litter, Junk, Trash",10 01 11 1 001 001.000,NUISANCE,1737417600000,1,{3BF01434-4193-4490-A197-6D0CE273DFE0},,,HNAM,1769178803000,2025/01/21
69,C00172835,2016 STELLA ST,"Debris, Litter, Junk, Trash, Repair Of Motor Vehicles, Weeds",11 06 23 1 013 017.000,NUISANCE,1737417600000,4,{1A44E306-36EE-46CA-93FB-7107039ABAEB},,,HNAM,1769178803000,2025/01/21
70,C00172837,2148 STELLA ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 06 23 1 012 015.000,NUISANCE,1737417600000,4,{7E35162E-B193-4622-8977-714CF321466B},,,HNAM,1769178803000,2025/01/21
71,C00172836,2142 STELLA ST,"Bldg. Material, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds",11 06 23 1 012 016.000,NUISANCE,1737417600000,4,{8BC6B9CD-9D1D-4080-A527-1CD45DCA49D3},,,HNAM,1769178803000,2025/01/21
72,C00172838,2152 STELLA ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 06 23 1 012 014.000,NUISANCE,1737417600000,4,{8C2240CD-E23C-4A21-B01D-94CFE2F95C91},,,HNAM,1769178803000,2025/01/21
73,C00172847,4726 NARROW LANE RD,"Auto Parts, Bldg. Material, Carpet, Debris, Furniture, Litter, Junk, Trash, Overgrown Grass, Tires, Tree Limbs, Tree Stumps, Weeds, Wood",15 03 05 2 005 002.000,NUISANCE,1737417600000,5,{CB175028-673E-4B92-B46F-A3D580835CDB},,,HNAM,1769178803000,2025/01/21
74,C00172854,3932 OAK ST,"Appliances, Auto Parts, Bldg. Material, Debris, Litter, Junk, Trash, TiresEntire Parcel Must Be Cleaned And Rid Of All Junk And Debris And Parts",11 07 25 3 005 019.000,NUISANCE,1737417600000,4,{2A74CDDD-D379-48E1-B64A-AD2AF77ECD0F},,,HNAM,1769178803000,2025/01/21
75,C00172861,3143 SOUTH COURT ST,"Bldg. Material, Debris, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds, Wood1 White And Red Box Truckalso No Parking In Front Yard Unless Gravel Is Put Down With A Border",10 04 19 3 006 009.000,NUISANCE,1737417600000,7,{62D12FFA-C7CA-43C0-9CC6-7DCC9CAC15C4},,,HNAM,1769178803000,2025/01/21
76,C00172867,1263 WOODBRIDGE DR,"Bldg. Material, Carpet, Debris, Furniture, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds, WoodClean Entire Parcel",15 03 05 2 001 015.000,NUISANCE,1737417600000,5,{2203C2C8-489B-47E8-B901-EECC5C7F4ED0},,,HNAM,1769178803000,2025/01/21
77,C00172871,1251 BASSETT DR,"Appliances, Auto Parts, Bldg. Material, Carpet, Debris, Furniture, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Tires, Tree Limbs, Weeds, Wood",10 09 32 3 014 047.000,NUISANCE,1737417600000,5,{98B89EDC-DA72-49F9-ABD8-32AECE602A10},,,HNAM,1769178803000,2025/01/21
78,C00172869,1250 BASSETT DR,"Bldg. Material, Carpet, Debris, Furniture, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Weeds, Wood",15 03 05 2 001 001.000,NUISANCE,1737417600000,5,{2A64274F-287D-4E4A-B6C7-CA3B82F7AF79},,,HNAM,1769178803000,2025/01/21
79,C00172872,3615 SOUTH COURT ST,"Bldg. Material, Litter, Junk, TrashBuilding Material And Wood On Parcel Must Be Removed",10 09 30 2 006 007.000,NUISANCE,1737417600000,7,{15D6847C-61C5-4A1E-B603-7B81A152C82A},,,HNAM,1769178803000,2025/01/21
80,C00172874,3766 SOUTH COURT ST,"Auto Parts, Debris, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds1 Red Car",11 07 25 1 015 032.000,NUISANCE,1737417600000,4,{12EE7939-B452-4943-A30F-3583F828EB16},,,HNAM,1769178803000,2025/01/21
81,C00172876,3860 SOUTH COURT ST,"Bldg. Material, Debris, Litter, Junk, Trash, Overgrown Grass, WeedsInside The Small Fenced Area On Parcel The Large Metal Rusted Framing Needs To Be Removed And Grass Cut",11 07 25 4 001 026.000,NUISANCE,1737417600000,4,{D10D8B42-AD56-4FF6-9F13-2C5FDE89F41E},,,HNAM,1769178803000,2025/01/21
82,C00172880,4019 SOUTH COURT ST,"Litter, Junk, Trash, Tree Limbs, Tree Stumps, Tree ViolationAll Tree Limbs In Yard And On House Must Be Removed From Parcel",10 09 30 3 010 013.000,NUISANCE,1737417600000,7,{79681CFC-779C-46FD-9404-629D88B2E584},,,HNAM,1769178803000,2025/01/21
83,C00172881,4228 SOUTH COURT ST,"Appliances, Auto Parts, Debris, Junk Vehicles, Litter, Junk, Trash, Overgrown Grass, Weeds1 Red 4 Door Car1 Silver Suv1 Grey/Green 4 Door Carand A Possible 4Th     2 In Front 2 In Rear",11 07 36 1 005 033.000,NUISANCE,1737417600000,4,{FEB176C4-0CA0-4B83-95E9-5BCDF2D69C26},,,HNAM,1769178803000,2025/01/21
84,C00172883,4408 SOUTH COURT ST,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 07 36 1 014 005.000,NUISANCE,1737417600000,4,{86911B80-876E-4FDE-8399-66537BBD5312},,,HNAM,1769178803000,2025/01/21
85,C00172889,LINCOLN ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 06 24 1 018 006.000,NUISANCE,1737417600000,7,{6D5B44C0-BE80-4552-83C6-6C34E75E60FB},,,HNAM,1769178803000,2025/01/21
86,C00172890,537 LINCOLN ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 06 24 1 018 005.000,NUISANCE,1737417600000,7,{B7174147-8166-4440-86F0-213077F5C5F7},,,HNAM,1769178803000,2025/01/21
87,C00172891,533 LINCOLN ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 06 24 1 018 004.000,NUISANCE,1737417600000,7,{0909FC99-0E34-4534-A913-61034EFE3A18},,,HNAM,1769178803000,2025/01/21
88,C00172892,521 LINCOLN ST,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 06 24 1 018 003.000,NUISANCE,1737417600000,7,{203F4EDB-414E-47A2-B807-B1F324BE344F},,,HNAM,1769178803000,2025/01/21
89,C00172899,1814 ROSA L PARKS AVE,"Debris, Litter, Junk, Trash, Overgrown Grass, Tree Limbs, Tree Violation, Weeds",11 06 24 2 014 018.000,NUISANCE,1737417600000,7,{2135921B-B1FF-4BAE-BD54-167774286375},,,HNAM,1769178803000,2025/01/21
90,C00172915,2229 EDWARD J NETTLES LN,"Litter, Junk, Trash, Overgrown Grass, Weeds",11 06 23 1 017 004.000,NUISANCE,1737417600000,4,{A6DC0868-B429-44C9-9F9F-3F05D6F18761},,,HNAM,1769178803000,2025/01/21
91,C00172916,2231 EDWARD J NETTLES LN,"Bldg. Material, Debris, Litter, Junk, TrashClean Up Site Where Trailer Has Been Removed.",11 06 23 1 017 005.000,NUISANCE,1737417600000,4,{3E4D04DC-9432-4052-A1DC-35D4EA7BBACF},,,HNAM,1769178803000,2025/01/21
92,C00172918,2237 EDWARD J NETTLES LN,"Bldg. Material, Debris, Furniture, Litter, Junk, Trash",11 06 23 1 017 007.000,NUISANCE,1737417600000,4,{614C6441-C80B-4972-B2EC-55B7B1A0BDB0},,,HNAM,1769178803000,2025/01/21
93,C00172920,2237 EDWARD J NETTLES LN,"Bldg. Material, Debris, Furniture, Litter, Junk, Trash",11 06 23 1 017 007.000,NUISANCE,1737417600000,4,{5E59F50F-68E5-4911-8EFE-6717A1830D48},,,HNAM,1769178803000,2025/01/21
94,C00172923,2231 EDWARD J NETTLES LN,"Bldg. Material, Debris, Litter, Junk, Trash",11 06 23 1 017 005.000,NUISANCE,1737417600000,4,{73843855-42B6-4CF7-AE71-8DC849599FB6},,,HNAM,1769178803000,2025/01/21
95,C00168568,4411 NORMAN BRIDGE RD,"Debris, Litter, Junk, Trash, Overgrown Grass, Tires, WeedsEntire Lot Must Be Cleared Of Litter And Junk. Also Any Tall Grass And Weeds Be Cut  Any Questions Feel Free To Call Me 334-531-6718  Thank You",10 09 31 4 002 049.000,NUISANCE,1738627200000,5,{CE872BE2-9966-49A4-9C1D-8C1E036AC913},,,HNAM,1769178803000,2025/02/04
