X,Y,OBJECTID,Join_Count,TARGET_FID,Offense_No,Item_No,Type,Address,Parcel_No,Remarks,Source_Date,Id
529433.906086631,660379.213759981,11,1,11,C00172467,,NUISANCE,3109 GENTILLY CT,15 02 03 1 003 029.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* THERE IS A BLACK CAR AND A BLACK VAN IN THE BACK. HAVE TO USE THE ALLEYWAY.",2025/01/07 00:00:00+00,6
522780.362307131,655568.671871886,12,1,12,C00172489,,NUISANCE,3541 WOODPARK DR,15 02 04 3 000 009.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/07 00:00:00+00,6
562768.32071688,675758.086873561,13,1,13,C00172614,,NUISANCE,10510 CHANTILLY PKWY,09 06 23 2 000 003.001,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,9
509691.795964632,666536.360238314,14,1,14,C00172880,,NUISANCE,4019 SOUTH COURT ST,10 09 30 3 010 013.000,"* LITTER, JUNK, TRASH, TREE LIMBS, TREE STUMPS, TREE VIOLATION* ALL TREE LIMBS IN YARD AND ON HOUSE MUST BE REMOVED FROM PARCEL",2025/01/21 00:00:00+00,7
521182.591224473,697185.259242237,15,1,15,C00172906,,NUISANCE,562 GARDENDALE DR,04 08 33 2 000 043.000,"* AUTO PARTS, JUNK VEHICLES, TIRES* ALL INOPERABLE VEHICLES ON PROPERTY WITH FLAT TIRES, EXPIRED OR NO TAGS, INCOMPLETE, OR INOPERABLE ARE IN VIOLATION OF THE CITY OF MONTGOMERY'S MUNICIPAL CODE.",2025/02/04 00:00:00+00,3
521711.282424297,696770.477591462,16,1,16,C00172910,,NUISANCE,1611 COLISEUM BLVD,04 08 33 2 000 100.000,"* AUTO PARTS, JUNK VEHICLES* REMOVE THE FOLLOWING (4) JUNK VEHICLES FROM PROPERTY: SILVER HYUNDAI GENESIS; WHITE FORD 500, SILVER CHRYSLER 200, AND GOLD DODGE CARAVAN",2025/02/04 00:00:00+00,3
523447.236301459,688696.471429802,17,1,17,C00173042,,NUISANCE,3001 BILTMORE AVE,10 02 04 4 004 016.000,"* AUTO PARTS, DEBRIS, FURNITURE, JUNK VEHICLES, LITTER, JUNK, TRASH, TIRES* WHITE CHEVY SUV, WHITE CADILLAC ESCALADE, SILVER NISSAN",2025/02/04 00:00:00+00,2
524338.109519713,687406.034378149,18,1,18,C00173050,,NUISANCE,3066 PELZER AVE,10 02 04 4 014 002.000,"* BLDG. MATERIAL, DEBRIS, FURNITURE, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* VEHICLE IN BACK YARD",2025/02/04 00:00:00+00,2
523722.505764052,685956.79941573,19,1,19,C00173041,,NUISANCE,17 SALEM DR,10 02 09 1 009 015.000,"* AUTO PARTS, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* BLACK CAR",2025/02/04 00:00:00+00,2
562832.475772295,676400.274893641,20,0,20,C00172532,,NUISANCE,10480 CHANTILLY PKWY,09 06 23 2 000 003.003,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/07 00:00:00+00,
512822.805122551,661354.341730975,21,1,21,C00168568,,NUISANCE,4411 NORMAN BRIDGE RD,10 09 31 4 002 049.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, WEEDS* ENTIRE LOT MUST BE CLEARED OF LITTER AND JUNK. ALSO ANY TALL GRASS AND WEEDS BE CUT  ANY QUESTIONS FEEL FREE TO CALL ME 334-531-6718  THANK YOU",2025/02/04 00:00:00+00,5
507216.953473382,675134.428015903,22,1,22,C00173236,,NUISANCE,524 LINCOLN ST,11 06 24 1 017 038.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* THE OWNER OF THE PROPERTY IS RESPONSIBLE FOR THE YARD UP TO THE CURB.",2025/02/04 00:00:00+00,7
539572.00884188,680287.934441149,23,1,23,C00173003,,NUISANCE,720 EASTERN BLVD,10 06 13 1 009 017.000,"* APPLIANCES, AUTO PARTS, BLDG. MATERIAL, CARPET, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, WEEDS, WOOD",2025/02/04 00:00:00+00,1
497338.693702385,657107.079556234,24,1,24,C00172990,,NUISANCE,230 SOUTHLAWN DR,14 02 03 4 004 013.000,"* BLDG. MATERIAL, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, WOOD* A LARGE AMOUNT OF TRASH AND HOUSEHOLD ITEMS LOOKS TO HAVE BEEN DUMPED ON THIS PARCEL AND NEEDS TO BE REMOVED",2025/02/04 00:00:00+00,4
517201.662506547,694988.899789803,25,1,25,C00172685,,NUISANCE,1709 CROUSON ST,04 09 32 3 001 007.000,"* APPLIANCES, AUTO PARTS, BLDG. MATERIAL, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, WEEDS* REMOVE ALL SCATTERED DEBRIS FROM PROPERTY ALONG WITH INOPERABLE VEHICLES FRONT/REAR",2025/01/07 00:00:00+00,3
518028.775353633,695577.993755981,26,1,26,C00172533,,NUISANCE,3466 BROADVIEW ST,04 09 32 1 015 003.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS FROM PROPERTY",2025/01/07 00:00:00+00,3
531642.422338881,683297.270942152,27,1,27,C00172714,9,NUISANCE,332 STERLING DR,10 01 11 3 008 017.000,"* BLDG. MATERIAL, LITTER, JUNK, TRASH",2025/01/21 00:00:00+00,1
535907.324898306,687252.625892311,28,1,28,C00172833,8,NUISANCE,4534 WARES FERRY RD,10 01 11 1 001 001.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH",2025/01/21 00:00:00+00,1
517361.651031714,660459.062025473,29,1,29,C00172867,75,NUISANCE,1263 WOODBRIDGE DR,15 03 05 2 001 015.000,"* BLDG. MATERIAL, CARPET, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS, WOOD* CLEAN ENTIRE PARCEL",2025/01/21 00:00:00+00,5
517239.308756713,660141.052162811,30,1,30,C00172847,76,NUISANCE,4726 NARROW LANE RD,15 03 05 2 005 002.000,"* AUTO PARTS, BLDG. MATERIAL, CARPET, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, TREE LIMBS, TREE STUMPS, WEEDS, WOOD",2025/01/21 00:00:00+00,5
517226.334045131,660597.645737812,31,1,31,C00172869,74,NUISANCE,1250 BASSETT DR,15 03 05 2 001 001.000,"* BLDG. MATERIAL, CARPET, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS, WOOD",2025/01/21 00:00:00+00,5
524638.529522546,659073.412237719,32,1,32,C00172715,73,NUISANCE,108 LAUDERDALE ST,15 02 04 1 013 028.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,6
509509.132944129,663950.545856133,33,1,33,C00172883,71,NUISANCE,4408 SOUTH COURT ST,11 07 36 1 014 005.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
509475.052959792,665382.515761219,34,1,34,C00172881,70,NUISANCE,4228 SOUTH COURT ST,11 07 36 1 005 033.000,"* APPLIANCES, AUTO PARTS, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* 1 RED 4 DOOR CAR1 SILVER SUV1 GREY/GREEN 4 DOOR CARAND A POSSIBLE 4TH     2 IN FRONT 2 IN REAR",2025/01/21 00:00:00+00,4
538848.851823635,682944.441595308,35,1,35,C00173001,7,NUISANCE,225 MELANIE DR,10 01 12 4 004 002.016,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS, WOOD* OVERGROWN GRASS IN BACK YARD",2025/02/04 00:00:00+00,1
509435.808615711,669063.203937896,36,1,36,C00172874,67,NUISANCE,3766 SOUTH COURT ST,11 07 25 1 015 032.000,"* AUTO PARTS, DEBRIS, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* 1 RED CAR",2025/01/21 00:00:00+00,4
505222.134300295,667539.92975349,37,1,37,C00172854,68,NUISANCE,3932 OAK ST,11 07 25 3 005 019.000,"* APPLIANCES, AUTO PARTS, BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, TIRES* ENTIRE PARCEL MUST BE CLEANED AND RID OF ALL JUNK AND DEBRIS AND PARTS",2025/01/21 00:00:00+00,4
535311.610210463,656851.409135818,38,1,38,C00172816,72,NUISANCE,6109 OAKLEIGH RD,15 01 02 4 001 016.009,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,6
509427.217425548,668020.475380301,39,1,39,C00172876,69,NUISANCE,3860 SOUTH COURT ST,11 07 25 4 001 026.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* INSIDE THE SMALL FENCED AREA ON PARCEL THE LARGE METAL RUSTED FRAMING NEEDS TO BE REMOVED AND GRASS CUT",2025/01/21 00:00:00+00,4
506827.239029717,674734.919956647,40,1,40,C00172899,65,NUISANCE,1814 ROSA L PARKS AVE,11 06 24 2 014 018.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,7
504445.402586043,675452.824688815,41,1,41,C00172801,64,NUISANCE,1651 OAK ST,11 06 24 2 007 011.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
504444.878636964,675492.821656063,42,1,42,C00172800,63,NUISANCE,1635 OAK ST,11 06 24 2 007 010.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
507131.00581063,674999.107420385,43,1,43,C00172889,62,NUISANCE,LINCOLN ST,11 06 24 1 018 006.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,7
507166.50016221,674999.726513639,44,1,44,C00172890,61,NUISANCE,537 LINCOLN ST,11 06 24 1 018 005.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,7
530932.972314205,687256.344716899,45,1,45,C00173031,6,NUISANCE,339 GROVE PARK DR,10 01 11 2 002 011.000,"* CARPET, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, TREE LIMBS, WEEDS, WOOD",2025/02/04 00:00:00+00,2
507237.489849627,675000.966340557,46,1,46,C00172892,59,NUISANCE,521 LINCOLN ST,11 06 24 1 018 003.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,7
507201.994841885,675000.346591145,47,1,47,C00172891,60,NUISANCE,533 LINCOLN ST,11 06 24 1 018 004.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,7
502664.689612046,675141.188501053,48,1,48,C00172920,58,NUISANCE,2237 EDWARD J NETTLES LN,11 06 23 1 017 007.000,"* BLDG. MATERIAL, DEBRIS, FURNITURE, LITTER, JUNK, TRASH",2025/01/21 00:00:00+00,4
502664.689612046,675141.188501053,49,1,49,C00172918,57,NUISANCE,2237 EDWARD J NETTLES LN,11 06 23 1 017 007.000,"* BLDG. MATERIAL, DEBRIS, FURNITURE, LITTER, JUNK, TRASH",2025/01/21 00:00:00+00,4
504254.093913551,675740.936973482,50,1,50,C00172624,62,NUISANCE,1600 OAK ST,11 06 23 1 014 001.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* ALL TRASH BAGS ON PORCH OF STRUCTURE ON THIS PARCEL MUST BE REMOVED",2025/01/07 00:00:00+00,4
502733.198333293,675142.98246073,51,1,51,C00172923,56,NUISANCE,2231 EDWARD J NETTLES LN,11 06 23 1 017 005.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH",2025/01/21 00:00:00+00,4
502733.198333293,675142.98246073,52,1,52,C00172916,55,NUISANCE,2231 EDWARD J NETTLES LN,11 06 23 1 017 005.000,"* BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH* CLEAN UP SITE WHERE TRAILER HAS BEEN REMOVED.",2025/01/21 00:00:00+00,4
502770.702523388,675143.964742228,53,1,53,C00172915,54,NUISANCE,2229 EDWARD J NETTLES LN,11 06 23 1 017 004.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
504098.910824966,675885.51476831,54,1,54,C00172835,53,NUISANCE,2016 STELLA ST,11 06 23 1 013 017.000,"* DEBRIS, LITTER, JUNK, TRASH, REPAIR OF MOTOR VEHICLES, WEEDS",2025/01/21 00:00:00+00,4
503260.006662883,675872.332379982,55,1,55,C00172836,52,NUISANCE,2142 STELLA ST,11 06 23 1 012 016.000,"* BLDG. MATERIAL, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,4
503164.017025467,675870.822868556,56,1,56,C00172838,50,NUISANCE,2152 STELLA ST,11 06 23 1 012 014.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,4
503212.011352047,675871.577460229,57,1,57,C00172837,51,NUISANCE,2148 STELLA ST,11 06 23 1 012 015.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/21 00:00:00+00,4
553712.780429047,673920.094814636,58,1,58,C00172823,6,NUISANCE,1341 OLD OAK PL,09 05 21 3 000 001.028,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,9
503790.413410462,676800.125471905,59,1,59,C00172771,49,NUISANCE,LINCOLN TERR,11 06 14 4 017 089.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
503710.961797718,676797.350871146,60,1,60,C00172770,48,NUISANCE,LINCOLN TER,11 06 14 4 017 087.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
541752.244638886,680565.499174736,61,1,61,C00172986,5,NUISANCE,5701 EAST SHIRLEY LN,09 04 18 2 000 002.026,"* DEBRIS, FURNITURE, LITTER, JUNK, TRASH* REMOVE ALL TRASH, FURNITURE, HOUSEHOLD ITEMS, AND DEBRIS FROM AROUND THE DUMPSTERS ON THE PROPERTY",2025/02/04 00:00:00+00,9
501309.90065496,681542.208835483,62,1,62,C00172748,47,NUISANCE,1401 BUNTING ST,11 06 14 2 001 002.002,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS FROM PROPERTY",2025/01/21 00:00:00+00,4
501255.670120381,681550.989985898,63,1,63,C00172747,46,NUISANCE,1407 BUNTING ST *,11 06 14 2 001 002.001,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS ALL OVER PROPERTY",2025/01/21 00:00:00+00,4
543980.766100463,689698.404137239,64,1,64,C00172463,5,NUISANCE,757 HAVELOCK LN,09 03 06 4 006 009.000,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* BLUE HONDA, SILVER HONDA, BLACK SUV",2025/01/21 00:00:00+00,2
501190.320513546,681556.068059735,65,1,65,C00172746,45,NUISANCE,411 MAY ST,11 06 14 2 001 002.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS FROM PROPERTY",2025/01/21 00:00:00+00,4
502999.538679883,681009.428733066,66,1,66,C00172744,44,NUISANCE,410 LORING ST,11 06 14 1 009 006.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
503136.864520714,681201.524805568,67,1,67,C00172742,42,NUISANCE,2120 LUVERNE ST,11 06 14 1 004 004.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
503176.867065378,681201.491341054,68,1,68,C00172741,43,NUISANCE,2116 LUVERNE ST,11 06 14 1 004 005.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
493521.747268051,677835.529569052,69,1,69,C00171169,40,NUISANCE,115 LONGVIEW CT,11 05 16 4 003 017.000,"* APPLIANCES, BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/01/07 00:00:00+00,4
503096.862304144,681201.55827006,70,1,70,C00172743,41,NUISANCE,2126 LUVERNE ST,11 06 14 1 004 003.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
504410.516500961,677956.740940802,71,1,71,C00172802,40,NUISANCE,1049 OAK ST,11 06 13 3 005 015.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
518456.477910291,694855.906289406,72,1,72,C00172752,4,NUISANCE,3342 TEXAS ST,04 09 32 4 003 007.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE PILE OF DEBRIS REAR OF THE PROPERTY",2025/01/21 00:00:00+00,3
506692.057869628,680472.12173681,73,1,73,C00172793,39,NUISANCE,534 ROSA L PARKS AVE,11 06 13 2 012 025.000,"* CARPET, DEBRIS, FURNITURE, JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS FROM PROPERTY INCLUDING THE STAIRWELL",2025/01/21 00:00:00+00,7
503057.258380722,682604.184073731,74,1,74,C00172575,38,NUISANCE,1001 CLAY ST,11 01 11 4 009 010.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/07 00:00:00+00,4
504898.369527884,680836.883802556,75,1,75,C00172724,38,NUISANCE,S DICKERSON ST,11 06 13 2 007 026.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS* REMOVE PILE OF TREE DEBRIS REAR OF PROPERTY/MISC. DEBRIS",2025/01/21 00:00:00+00,4
541557.756182715,681725.78523998,76,1,76,C00172985,4,NUISANCE,455 EASTDALE RD SOUTH,09 04 18 2 000 002.000,"* BLDG. MATERIAL, LITTER, JUNK, TRASH, TIRES, TREE LIMBS, TREE VIOLATION* REMOVE ALL TRASH ON GROUND BESIDE DUMPSTERS; REMOVE TIRES, AUTO PARTS, AND BUILDING MATERIALS FROM AROUND BUILDING 409 AND 413; REMOVE FALLEN TREES AND TREE LIMBS ON THE OUTSIDE OF ",2025/02/04 00:00:00+00,9
504899.286192719,680686.881149814,77,1,77,C00172726,36,NUISANCE,538 SOUTH DICKERSON ST,11 06 13 2 007 022.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
504899.05686247,680724.381074809,78,1,78,C00172725,37,NUISANCE,532 SOUTH DICKERSON ST,11 06 13 2 007 023.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
535435.092903133,658224.058949552,79,1,79,C00172941,36,NUISANCE,5952 PROVOST AVE,15 01 02 1 004 022.012,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/04 00:00:00+00,6
512324.164387554,670497.309337392,80,1,80,C00173052,36,NUISANCE,NORMAN BRIDGE RD,10 09 30 1 005 012.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS",2025/02/04 00:00:00+00,7
507804.776116636,680062.081546396,81,1,81,C00172796,35,NUISANCE,571 VIRGINIA AVE,11 06 13 1 008 019.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, TREE VIOLATION, WEEDS* REMOVE DOWN TREE FROM PROPERTY",2025/01/21 00:00:00+00,3
488874.10564471,672116.144354314,82,1,82,C00172832,34,NUISANCE,3340 ASHLEY RD,11 05 21 3 003 009.000,"* AUTO PARTS, BLDG. MATERIAL, DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, WOOD* THIS ENTIRE PARCEL MUST BE CLEANED AND RID OF ALL JUNK,SCRAP,AUTO PARTS AND ALL OTHER DEBRIS.IF THE BOAT IS JUNK IT NEEDS TO BE REMOVED FROM PARCEL. FAILURE IN THIS A",2025/01/21 00:00:00+00,4
502999.188286882,682336.780080974,83,1,83,C00172749,33,NUISANCE,1059 HERRON ST,11 01 11 4 013 001.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,4
517005.698003463,660795.316602319,84,1,84,C00172871,32,NUISANCE,1251 BASSETT DR,10 09 32 3 014 047.000,"* APPLIANCES, AUTO PARTS, BLDG. MATERIAL, CARPET, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, OVERGROWN GRASS, TIRES, TREE LIMBS, WEEDS, WOOD",2025/01/21 00:00:00+00,5
508943.71412747,666306.188454561,85,1,85,C00173212,32,NUISANCE,56 SOUTHMONT DR,11 07 25 4 012 045.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS* ENTIRE PARCEL NEEDS TO BE CLEANED AND STRAIGHTENED UP",2025/02/04 00:00:00+00,4
509701.627309799,666464.380723484,86,1,86,C00172822,31,NUISANCE,4029 SOUTH COURT ST,10 09 30 3 010 014.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/01/21 00:00:00+00,7
506100.225063797,667074.985473387,87,1,87,C00172943,31,NUISANCE,727 CLOVER HILL DR,11 07 25 3 011 005.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS, WOOD",2025/02/04 00:00:00+00,4
494188.157352541,667133.837717898,88,1,88,C00172934,33,NUISANCE,3089 WEST BLVD,11 08 27 3 003 001.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/04 00:00:00+00,4
507874.038445298,673467.411664896,89,1,89,C00173218,30,NUISANCE,100 DUNCAN DR,11 06 24 4 004 014.000,"* BLDG. MATERIAL, CARPET, DEBRIS, FURNITURE, LITTER, JUNK, TRASH, TREE LIMBS, WOOD* THIS ENTIRE PARCEL MUST BE CLEANED AND RID OF ALL DEBRIS AND JUNK",2025/02/04 00:00:00+00,4
494670.438540213,666855.200807974,90,1,90,C00172955,34,NUISANCE,ESTATE AVE,11 08 27 3 003 002.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, WEEDS",2025/02/04 00:00:00+00,4
515233.851481553,695016.705836564,91,1,91,C00172791,3,NUISANCE,3541 MANLEY DR,04 09 32 3 005 002.031,"* JUNK VEHICLES, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS* REMOVE ALL SCATTERED DEBRIS AND INOPERABLE VEHICLES",2025/01/21 00:00:00+00,3
518457.29910288,694750.906171322,92,1,92,C00172754,3,NUISANCE,3330 TEXAS ST,04 09 32 4 003 009.000,"* LITTER, JUNK, TRASH, OVERGROWN GRASS, TREE LIMBS, TREE VIOLATION, WEEDS* REMOVE PILE TREE DEBRIS FROM REAR PROPERTY",2025/02/04 00:00:00+00,3
506839.319058042,674929.117730968,93,1,93,C00173235,29,NUISANCE,ROSA L PARKS AVE,11 06 24 2 014 022.000,"* DEBRIS, LITTER, JUNK, TRASH, OVERGROWN GRASS, WEEDS",2025/02/04 00:00:00+00,7
