X,Y,OBJECTID_1,OBJECTID,NAME,FIPS,ENRLMT,SCH_ENRL,enr,Address,City,TELEPHONE,ZIP,TAZ_2035LR,TAZ_2030LR,EMPLOY,Enroll,Level_,BUFF_DIST,LASTUPDATE,created_user,created_date,last_edited_user,last_edited_date,SchoolType,New
524371.344033912,659961.528242573,11,9437273,Peter Crump Elementary School,01101,576,0,576,3510 Woodley Road,Montgomery,(334) 284-8020,36116,172,172,65,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
529084.498649579,687976.716306575,12,9437281,Dalraida Elementary School,01101,813,0,813,440 Dalraida Road,Montgomery,(334) 260-1007,36109,142,142,63,767,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
524375.620272078,670731.167792492,13,9437282,Dannelly Elementary School,01101,600,0,600,3425 Carter Hill Road,Montgomery,(334) 269-3657,36111,178,178,51,573,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
507189.740929995,669973.839254655,14,9437283,Davis Elementary School,01101,470,0,470,3605 Rosa L. Parks Ave.,Montgomery,(334) 269-3662,36105,101,102,52,404,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
539496.511618163,683065.686430492,15,9437289,Dozier Elementary School,01101,417,0,417,200 Eastern Blvd,Montgomery,(334) 260-1012,36117,209,209,40,462,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
515099.553194329,745043.755715571,16,9437301,Edgewood Academy,01051,300,0,337,5475 Elmore Rd,Elmore,(334) 567-5102,36025,315,315,33,337,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
526742.717243914,679262.497186489,17,9437322,Flowers Elementary School,01101,381,0,381,3510 Harrison Rd,Montgomery,(334) 260-1015,36109,130,129,39,381,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
516299.848037828,677249.298128903,18,9437324,Forest Avenue Academic Magnet School,01101,736,0,736,1700 W. Fifth St.,Montgomery,(334) 269-3673,36106,48,48,51,685,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
573287.944035161,675030.195939824,19,9437336,Pike Road High School,01101,634,0,634,696 Georgia Washington Road,Pike Road,(334) 420-5380,36064,246,246,48,552,High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
507923.339856494,677943.848577075,20,9437340,ED Nixon Elementary School,01101,474,0,474,1000 Edgar D Nixon Ave,Montgomery,(334) 223-6700,36104,26,26,49,474,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
528900.378939077,684141.772204824,21,9437343,Goodwyn Middle School,01101,588,0,588,209 Perry Hill Road,Montgomery,(334) 260-1021,36109,208,208,58,497,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
517920.691580914,681037.602888241,22,9437364,Highland Avenue Elementary School,01101,418,39,418,2024 Highland Ave.,Montgomery,(334) 269-3690,36107,61,61,41,463,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
518652.679290161,691004.337875992,23,9437365,Highland Gardens Elementary School,01101,443,64,443,2801 Willena Ave,Montgomery,(334) 269-3685,36107,76,76,49,445,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
493321.180084497,639651.662038237,24,9437368,Hooper Academy,01101,438,35,400,380 Fischer Road,Hope Hull,(334) 288-5980,36043,368,243,35,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
528344.756362662,666273.417521656,25,0,Loveless Academic Magnet Program High School, ,496,0,496,3440 McGehee Rd,Montgomery,(334) 284-7500,36111,93,93,42,499,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
503297.949829079,679422.437155321,26,9437421,TS Morris Elementary School,01101,551,0,551,801 Hill St.,Montgomery,(334) 223-6920,36108,93,93,44,559,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
549399.958674744,687885.625609487,27,9437449,Garrett Elementary School,01101,554,0,554,555 McLemore Drive,Montgomery,(334) 260-1090,36117,258,258,54,584,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
493561.025077246,727476.933237739,28,9437454,Millbrook Middle School,01051,1489,0,1545,4228 Chapman Road,Millbrook,(334) 285-2100,36054,311,311,138,0,Middle & Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
524409.645466495,673731.161136322,29,9437458,The Montgomery Academy Mid/High - Vaughn Campus,01101,567,0,571,3240 Vaughn Road,Montgomery,(334) 272-8210,36106,128,128,90,0,Middle & High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
537958.343106579,670012.712208405,30,9437459,Montgomery Catholic Prep High School,01101,257,0,290,5350 Vaughn Road,Montgomery,(334) 272-7220,36116,196,196,50,0,Junior to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
522227.075684663,687432.855517656,31,9437465,Morningview Elementary School,01101,553,0,553,2849 Pelzer Ave,Montgomery,(334) 260-1028,36109,78,78,51,543,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
464236.859316245,711452.609971486,32,9437533,Prattville Elementary School,01001,672,0,578,134 Patrick St.,Prattville,(334) 361-3885,36067,276,276,70,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
465437.100682162,711445.637216404,33,9437535,Prattville Intermediate School,01001,704,0,685,1020 Honeysuckle Dr.,Prattville,(334) 361-3880,36067,276,276,60,0,Intermediate/5-6th Grade,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
460145.006279495,714711.538492993,34,9437536,Prattville Primary School,01001,726,0,649,216 Wetumpka St,Prattville,(334) 365-6277,36067,271,271,66,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
516044.382669497,700470.727407739,35,9437546,Resurrection Catholic School,01101,105,0,208,2815 Forbes Drive,Montgomery,(334) 263-4221,36110,267,267,190,0,Elementary to Middle Sch,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
517393.117176745,661177.022202656,36,9437578,Seth Johnson Elementary School,01101,494,0,494,4550 Narrow Lane Road,Montgomery,(334) 284-8016,36116,116,116,46,473,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
498627.453592662,655803.094630323,37,9437593,Southlawn Elementary School,01101,287,0,287,5225 Patricia Lane,Montgomery,(334) 284-8028,36108,228,228,32,278,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
532416.045136079,672354.004769906,38,9437642,Vaughn Road  Elementary School,01101,528,0,528,4407 Vaughn Road,Montgomery,(334) 260-1031,36106,192,192,52,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
546112.331719831,691600.624084987,39,9437645,Wares Ferry Road Elementary School,01101,386,0,386,6425 Wares Ferry Road,Montgomery,(334) 260-1036,36117,217,217,37,413,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
538510.016543914,744927.166709907,40,9437651,Wetumpka Elementary School,01051,1122,0,1033,510 Micanopy St,Wetumpka,(334) 567-4323,36092,333,333,0,0,Elementary K-4th,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
501381.496312913,672800.456304826,41,0,Carver Elementary/Arts Magnet School, ,445,0,445,3100 Mobile Dr,Montgomery,(334) 269-3625,36108,168,168,47,451,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
531341.688360911,655983.282918237,42,0,Fitzpatrick Elementary School, ,584,0,584,4055 Fitzpatrick Blvd.,Montgomery,(334) 284-8044,36116,186,186,51,523,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
554215.832573161,674131.783694655,43,0,Halcyon Elementary School, ,657,66,657,1501 Parkview Drive S.,Montgomery,(334) 271-9000,36117,386,256,52,520,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
486033.907257497,658723.471991658,44,0,Martin Luther King Elementary, ,417,0,417,4655 Gateway Drive,Montgomery,(334) 284-8080,36108,226,226,137,417,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
526369.970285997,652853.623495154,45,0,McKee Middle School, ,818,0,818,4017 McInnis Road,Montgomery,(334) 284-7528,36116,173,173,88,773,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
496937.601985496,655705.878617406,46,0,Southlawn Middle School, ,624,0,624,5333 Mobile Highway,Montgomery,(334) 284-8086,36108,228,228,58,542,Middle School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
537335.993629497,687099.221670486,47,0,Alabama Christian Academy, ,750,0,750,4700 Wares Ferry Road,Montgomery,(334) 277-1985,36109,140,140,100,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
556438.220516831,666671.785819404,48,0,Churchill Academy, ,80,0,125,395 Ray Thorington Road,Montgomery,(334) 270-4225,36117,239,239,20,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
532901.026121497,674635.825009406,49,0,Eastwood Christian School, ,107,0,260,1701 E. Trinity Blvd,Montgomery,(334) 272-8195,36106,192,192,33,260,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
544063.309243079,666018.91639024,50,0,Lighthouse Christian Academy, ,250,0,250,3570 Bell Road,Montgomery,(334) 271-4200,36116,236,236,24,0,Elementary to Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2023/10/07 00:08:35+00,PRIVATE,PRIVATE School
601065.822862495,655660.883956738,51,0,Macon-East Montgomery Academy, ,508,0,250,15396 Vaughn Road,Cecil,(334) 277-6566,36013,241,241,60,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
511182.774610579,678326.270056322,52,0,Montessori Academy, ,51,0,37,1025 S Hull St,Montgomery,(334) 262-8685,36104,191,191,6,0,12 Months to Kindergarten,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
459167.193930663,722998.125922404,53,0,Prattville Junior High School, ,1059,0,1152,1089 Martin Luther King Dr.,Prattville,(334) 365-6697,36067,269,269,80,0,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
474734.421982497,710672.575770408,54,0,Daniel Pratt Elementary School, ,1124,0,1105,420 Harvest Loop Road,Prattville,(334) 361-6400,36066,289,289,93,1105,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
462304.661737081,759559.332655489,55,0,Pine Level Elemantary School / Prattville, ,697,0,977,2040 US-31 North,Deatsville,(334) 358-2658,36022,347,347,0,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
504655.75026308,777171.417509988,56,0,Holtville Elementary School, ,672,0,576,287 Whatley Dr,Deatsville,(334) 569-2925,36022,366,345,47,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
504755.13096983,776285.521972075,57,0,Holtville Middle School, ,490,0,513,655 Bulldog Lane,Deatsville,(334) 569-1596,36022,366,345,37,0,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
536299.508169662,744955.913043492,58,0,Wetumpka Middle School, ,813,0,749,1000 Micanopy St.,Wetumpka,(334) 567-1413,36092,333,333,0,0,Middle School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
489060.178107828,731297.047644742,59,0,Victory Baptist School K4-6th Grade, ,430,0,255,3151 AL Hwy 14,Millbrook,(334) 285-0211,36054,310,310,0,0,Intermediate,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
494432.440985329,728032.215591736,60,0,Chapman Christian Academy, ,150,0,278,4711 Chapman Rd,Millbrook,(334) 285-5354,36054,313,313,0,278,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
492217.024484411,735144.888702326,61,0,New Life Christian Academy, ,248,0,214,4230 AL Hwy 14,Millbrook,(334) 285-5615,36054,313,313,0,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
563794.500423662,658758.836422242,62,0,Blount Elementary School, ,606,0,606,1650 Ray Thorington Road,Montgomery,(334) 244-0078,36117,238,238,55,406,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
529004.15629058,675680.581450075,63,0,The Montgomery Academy Elementary - Hill Campus, ,325,0,279,1550 Perry Hill Road,Montgomery,(334) 273-7170,36106,127,127,40,0,K-5 Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
537077.805825662,662292.228633657,64,0,Brewbaker Primary School, ,807,0,807,4445 Brewbaker Drive,Montgomery,(334) 284-8005,36116,197,197,68,634,Elementary PK-2nd Grade,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
533154.778238662,671559.548681654,65,0,Success Unlimited Academy - Lower Campus, ,0,0,40,4500 Vaughn Rd,Montgomery,(334) 676-1629,36106,202,202,6,0,K4 to Middle,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
480409.438519578,717995.097542658,66,0,Prattville Christian Academy, ,74,0,365,"322 Old Farm Lane, North",Prattville,(334) 285-0077,36066,354,354,37,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
489404.817182329,730734.999556236,67,0,Victory Baptist School Junior & Senior High/Nursery&Preschool, ,0,0,115,5481 N MAIN ST,Millbrook,(334) 285-5082,36054,310,310,0,0,Junior High & High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
501412.643888414,683715.748778656,68,0,Maxwell AFB Elementary & Middle School, ,0,0,439,800 Magnolia Blvd,Maxwell AFB,(334) 953-7570,36112,220,220,0,0,Elementary & Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
516878.826866746,681445.92096924,69,0,Bethany Christian Academy, ,0,0, ,1765 Highland Avenue,Montgomery,(334) 264-1078,36107, , ,0,0,Elementary to Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
507427.644653663,677777.549040906,70,0,Browns Private School, ,0,0, ,1130 Bellview Street,Montgomery,(334) 264-2971,36116, , ,0,0,Elementrary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
522238.214769997,687110.004129238,71,0,Cornerstone Christian Academy, ,0,0, ,125 Calhoun Road,Montgomery,(334) 356-7788,36109, , ,0,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
530174.453490663,672972.875907488,72,0,Evangel Christian Academy, ,0,0, ,3975 Vaughn Road,Montgomery,(334)272-3882,36106, , ,0,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
528147.019553412,685092.521287575,73,0,Montgomery Catholic Prep School (St. Bede Campus), ,0,0, ,3850 Atlanta Highway,Montgomery,(334) 272-3033,36109, , ,0,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
532552.419863328,674470.932622656,74,0,Trinity Presbyterian School, ,0,0, ,1700 East Trinity Boulevard,Montgomery,(334) 213-2100,36106, , ,0,0,K3 to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
558310.219397496,656837.282850653,75,0,Wilson Elementary, ,552,0,552,8900 Park Crossing Dr,Montgomery,(334) 272-8819,36116, , ,47,469,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
497629.141940996,685658.817070991,76,9437185,Air University,01101,0,0,24408,600 Chennault Cir # 1405,Maxwell AFB,(334) 953-2888,36112,220,220,0,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
537457.580000497,685750.598055407,77,9437187,Faulkner University,01101,2928,0,1780,5345 Atlanta Highway,Montgomery,(334) 272-5820,36109,140,140,240,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
513400.728507996,678715.381154738,78,9437190,Alabama State University,01101,1553,0,5469,915 S. Jackson St.,Montgomery,(334) 229-4100,36104,46,46,1000,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
549883.557116996,679414.151082657,79,9437199,Auburn University at Montgomery,01101,5500,0,5128,7440 East Dr,Montgomery,(334) 244-3000,36116,260,260,1237,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
504353.217075497,672899.499413826,80,9437241,Carver High School,01101,1322,0,1322,2001 W. Fairview Ave.,Montgomery,(334) 269-3636,36108,168,168,121,1224,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
504758.699860331,777098.547905073,81,9437367,Holtville High School,01051,701,0,446,10425 Holtville Road,Deatsville,(334) 569-3034,36022,366,345,0,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
516589.581710327,673403.422618575,82,9437376,Huntingdon College,01101,705,150,790,1500 E. Fairview Ave,Montgomery,(334) 833-4431,36106,41,41,150,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
523742.251131997,670669.407089241,83,9437381,Jefferson Davis High School,01101,2013,172,2013,3420 Carter Hill Road,Montgomery,(334) 269-3712,36111,123,123,155,1889,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
508981.738986414,675409.154827572,84,9437399,Sidney Lanier High School,01101,848,0,848,1756 S Court St,Montgomery,(334) 269-3726,36108,35,35,58,1005,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
520761.181306746,683594.649939492,85,9437401,Robert E. Lee High School,01101,1565,0,1565,225  Ann St.,Montgomery,(334) 269-3742,36107,58,58,155,1514,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
