OBJECTID,Id,Type_,Material,Cond_,Chan_Shp,Width_T,Width_B,Slope,MaintDate,Basin,Ditch_Name,Flow_Dir,Empty_To,created_user,created_date,last_editor_user,last_editor_date,last_edited_user,last_edited_date,Supervisor,TYPE,First_Cut,Second_Cut,Third_Cut,Next_Scheduled,FACILITYID,Prev_Year_First_Cut,Prev_Year_Second_Cut,Prev_Year_Third_Cut,Shape__Length
14796,4,0,0,0,0,0.66448971,0.0,0.0,Received Third Cut,WARES FERRY DITCH,HOLLOW WOOD RD,NORTH,SWAMP_ALA RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1766424847000,NORTH,DITCH,1746662400000,1755216000000,1761091200000,,N52,,,,3508.5056685806403
14797,0,0,0,0,0,0.79633012,0.0,0.0,Received Third Cut,WARES FERRY DITCH,LAGOON PARK,NORTH,SWAMP_ALA RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1766424830000,NORTH,DITCH,1746057600000,1754956800000,1761782400000,,N51,,,,3151.657165207521
14798,0,0,0,0,0,0.16972006,0.0,0.0,Received Third Cut,EASTDALE DITCH,EASTDALE SOUTH,NORTH,SWAMP,NPJACKSON,1740667602000,,,ABENEFIELD,1765405220000,EAST,DITCH,1744156800000,1752105600000,1757376000000,,E36,1709769600000,1716163200000,1721779200000,896.1219396501281
14799,4,0,0,0,0,1.07552142,0.0,0.0,Received Third Cut,EASTDALE DITCH,EASTDALE MALL,NORTH,SWAMP,NPJACKSON,1740667602000,,,ABENEFIELD,1766425100000,NORTH,DITCH,1750723200000,1753315200000,1756339200000,,N67,,,,5678.753073125679
14800,4,0,0,0,0,1.04272581,0.0,0.0,Received Third Cut,EASTDALE DITCH,DUNBARTON RD,NORTH,SWAMP,NPJACKSON,1740667602000,,,ABENEFIELD,1766424882000,NORTH,DITCH,1746662400000,1756425600000,1761177600000,,N53,,,,5505.592279999263
14801,0,0,0,0,0,0.2695635,0.0,0.0,Received Third Cut,EASTDALE DITCH,SHIRLEY LN,NORTH,SWAMP,NPJACKSON,1740667602000,,,ABENEFIELD,1765405173000,EAST,DITCH,1745020800000,1752451200000,1757462400000,,E35,1709769600000,1715731200000,1726444800000,1423.2952775399147
14802,1,0,0,0,0,1.58428899,0.0,0.0,Received Third Cut,MONTGOMERY EAST DITCH,PINEBROOK DITCH,NORTH,TALLAPOOSA RIVER,NPJACKSON,1740667602000,,,ABENEFIELD,1765401617000,CENTRAL,DITCH,1746057600000,1755129600000,1758153600000,,C10,1721088000000,1726531200000,,6381.451158111839
14803,1,0,0,0,0,0.67113691,0.0,0.0,Received First Cut,MONTGOMERY EAST DITCH,MIDDLE PINEBROOK,NORTH,TALLAPOOSA RIVER,NPJACKSON,1740667602000,,,NPJACKSON,1752263333000,TRACTOR,TRACTOR,1746748800000,,,,T10,,,,3543.6029032559277
14804,0,0,0,0,0,0.46456395,0.0,0.0,Received First Cut,OLIVER CREEK,OLIVER CREEK,NORTH,MONTGOMERY EAST DITCH,NPJACKSON,1740667602000,,,NPJACKSON,1752263333000,TRACTOR,TRACTOR,1746662400000,,,,T11,1710374400000,1715126400000,1722297600000,2452.897647290793
14805,0,0,0,0,0,0.70883583,0.0,0.0,Received Third Cut,CAMP CREEK,EASTWOOD GLEN DR,SOUTH, ,NPJACKSON,1740667602000,,,ABENEFIELD,1766423580000,EAST,DITCH,1747180800000,1755475200000,1759363200000,,E65,1712793600000,1719187200000,1724198400000,3742.653168723649
14806,1,1,1,3,1,0.78935725,0.0,0.0,Received Third Cut,HANNON SLOUGH,BOXWOOD DITCH,SOUTH,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765401197000,CENTRAL,DITCH,1743552000000,1752537600000,1756771200000,,C11,1710892800000,1719446400000,1719878400000,4167.80628670316
14807,1,0,0,0,0,2.48663247,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,KINGSBURY DITCH,SOUTH,CATOMA CREEK,NPJACKSON,1740667602000,,,ABENEFIELD,1756407186000,CENTRAL,DITCH,1743465600000,1749772800000,1755043200000,,C12,,,,13129.419465797093
14808,0,0,0,0,0,2.7240386,0.0,0.0,Received Third Cut,HANNON SLOUGH,HANNON SLOUGH,SOUTH,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765571385000,SOUTH,DITCH,1743638400000,1747699200000,1752019200000,,S21,1712534400000,1721001600000,1726617600000,14382.92382206042
14809,0,0,0,0,0,1.54636079,0.0,0.0,Received Third Cut,OLIVER CREEK,UPPER PINEBROOK, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765405281000,EAST,DITCH,1744675200000,1752105600000,1757462400000,,E37,1710115200000,1716163200000,1721779200000,8164.784973164455
14810,3,0,0,0,0,0.89990717,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,DRESDEN DR,SOUTH,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765575627000,SOUTH,DITCH,1746662400000,1754956800000,1758153600000,,S80,1711324800000,1719792000000,,4751.509844942904
14811,1,0,0,0,0,1.14270318,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,GLADLANE DITCH,SOUTH,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765401445000,CENTRAL,DITCH,1747094400000,1753228800000,1756339200000,,C13,1710806400000,1719964800000,1725408000000,6033.4727917373875
14812,3,0,0,0,0,0.35212546,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,MARTI LN,EAST,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765572518000,SOUTH,DITCH,1744761600000,1749513600000,1753142400000,,S48,1710201600000,1713830400000,1717459200000,1859.2224241302265
14813,3,0,0,0,0,0.17285472,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,NORTH WALLACE DR,WEST,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765572552000,SOUTH,DITCH,1744761600000,1749513600000,1753142400000,,S49,1717459200000,1722211200000,,912.6729338788986
14814,3,0,0,0,0,0.14369578,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,BURKELAUN DR,EAST,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765575865000,SOUTH,DITCH,1747094400000,1750896000000,1755129600000,,S93,1711929600000,1719964800000,,758.7137132234129
14815,3,0,0,0,0,0.34047356,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,MANCHESTER DR,SOUTH,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765575634000,SOUTH,DITCH,1747094400000,1750723200000,1755475200000,,S81,1715126400000,1719878400000,,1797.7004040322884
14816,3,0,0,0,0,0.35526531,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,WINCHESTER RD,NORTHWEST,GLADLANE DITCH,NPJACKSON,1740667602000,,,ABENEFIELD,1765575569000,SOUTH,DITCH,1746057600000,1754956800000,1758153600000,,S79,1719360000000,1723507200000,1727049600000,1875.8008582720147
14817,3,0,0,0,0,0.4542785,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,WINDWOOD,SOUTH,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765571447000,SOUTH,DITCH,1742860800000,1748390400000,1753920000000,,S23,1709510400000,1712620800000,1716249600000,2398.5904865476145
14818,3,0,0,0,0,0.36000956,0.0,0.0,Received Third Cut,BALDWIN SLOUGH,SMALLBROOK,WEST,BALDWIN SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765571776000,SOUTH,DITCH,1744156800000,1748390400000,1753920000000,,S24,1709510400000,1712620800000,1716249600000,1900.850450403693
14819,3,0,0,0,0,0.27604146,0.0,0.0,Received Third Cut,HANNON SLOUGH,NARROW LANE RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1752701390000,SOUTH,DITCH,1742342400000,1747612800000,1752019200000,,S10,1709078400000,1720569600000,1724112000000,1457.4989086569178
14820,0,0,0,0,0,0.43922756,0.0,0.0,Received Third Cut,HANNON SLOUGH,WOODLEY SQUARE, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765571419000,SOUTH,DITCH,1744156800000,1747785600000,1753920000000,,S22,1712534400000,1724284800000,1728259200000,2319.121526651074
14821,0,0,0,0,0,0.52542948,0.0,0.0,Received Third Cut,HANNON SLOUGH,MYRTLEWOOD DR,WEST,HANNON SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765575745000,SOUTH,DITCH,1747094400000,1750809600000,1755129600000,,S87,1715126400000,1719964800000,1726704000000,2774.2676697046063
14822,3,0,0,0,0,0.18956652,0.0,0.0,Received Third Cut,AUDUBON DITCH,WRIGHT ST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1752756745000,SOUTH,DITCH,1742428800000,1747699200000,1752105600000,,S15,1709078400000,1715817600000,1720569600000,1000.911243496912
14823,3,0,0,0,0,0.57676587,0.0,0.0,Received Third Cut,WHITES SLOUGH,CARRIAGE BROOK,SOUTHEAST,WHITES SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765575025000,SOUTH,DITCH,1745798400000,1754265600000,1758067200000,,S66,1710806400000,1718236800000,1722470400000,3045.323786195677
14824,3,0,0,0,0,0.19306092,0.0,0.0,Received Third Cut,WHITES SLOUGH,COVERED BRIDGE DR,EAST,WHITES SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765573428000,SOUTH,DITCH,1745798400000,1750636800000,1753315200000,,S65,1710806400000,1722470400000,1725926400000,1019.3616770299215
14825,3,0,0,0,0,0.30576103,0.0,0.0,Received Third Cut,WHITES SLOUGH,WATERMILL RD,SOUTHEAST,WHITES SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765573395000,SOUTH,DITCH,1745798400000,1750636800000,1753315200000,,S64,,,,1614.418253752174
14826,3,0,0,0,0,0.54919699,0.0,0.0,Received Third Cut,WHITES SLOUGH,OAK SHADOW LN,EAST,WHITES SLOUGH,NPJACKSON,1740667602000,,,ABENEFIELD,1765573256000,SOUTH,DITCH,1745452800000,1750636800000,1753315200000,,S63,1710720000000,1714435200000,1718150400000,2899.760099194616
14827,3,0,0,0,0,0.33217005,0.0,0.0,Received Third Cut,WHITES SLOUGH,WHITE FROST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765573188000,SOUTH,DITCH,1745366400000,1750204800000,1754438400000,,S61,1710720000000,1722816000000,,1753.8578699900047
14828,0,0,0,0,0,0.0,0.0,0.0,Scheduled to be cut,WHITES SLOUGH,BUSINESS PARK DR, , ,NPJACKSON,1740667602000,,,NPJACKSON,1752263333000,TRACTOR,TRACTOR,,,,,T03,,,,883.8684671690586
14829,3,0,0,0,0,0.28060441,0.0,0.0,Received Third Cut,WHITES SLOUGH,EDGE HILL, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765572725000,SOUTH,DITCH,1744588800000,1749600000000,1754352000000,,S54,1717977600000,1722297600000,1725494400000,1481.5912820869423
14830,3,0,0,0,0,0.11784053,0.0,0.0,Received Third Cut,WHITES SLOUGH,ST LOUIS RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765572757000,SOUTH,DITCH,1744588800000,1749600000000,1753228800000,,S55,1710288000000,1717545600000,1722297600000,622.1980089978316
14831,3,0,0,0,0,0.11627008,0.0,0.0,Received Third Cut,WHITES SLOUGH,FAIRWOOD DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1753202575000,SOUTH,DITCH,1743033600000,1748908800000,1752624000000,,S32,1709596800000,1716336000000,1724716800000,613.9060243888831
14832,3,0,0,0,0,0.20182879,0.0,0.0,Received Third Cut,WHITES SLOUGH,CHATWOOD ST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1753202513000,SOUTH,DITCH,1743033600000,1748476800000,1752624000000,,S31,1716336000000,1724716800000,,1065.6560058572163
14833,3,0,0,0,0,0.0808159,0.0,0.0,Received Third Cut,WHITES SLOUGH,MATTERHORN, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1753202776000,SOUTH,DITCH,1743033600000,1748908800000,1752710400000,,S34,1709596800000,1712707200000,1716336000000,426.70796905855303
14834,3,0,0,0,0,0.13667375,0.0,0.0,Received Third Cut,WHITES SLOUGH,HUNTING CREEK RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1753202479000,SOUTH,DITCH,1742860800000,1748390400000,1752624000000,,S29,1716336000000,1721174400000,1724716800000,721.6373948398764
14835,0,0,0,0,0,0.25762056,0.0,0.0,Received Third Cut,CAMP CREEK,BELL RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765572141000,SOUTH,DITCH,1743465600000,1748995200000,1754352000000,,S37,1709683200000,1712793600000,1716336000000,1360.2365412134275
14836,0,0,0,0,0,0.41204729,0.0,0.0,Received Third Cut,CAMP CREEK,WALBASH - NORRIS FARMS, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766418470000,EAST,DITCH,1747612800000,1756080000000,1759708800000,,E67,1719273600000,,,2175.6096695100437
14837,0,0,0,0,0,0.3141433,0.0,0.0,Received Third Cut,CAMP CREEK,WORTHING RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766423542000,EAST,DITCH,1747180800000,1755475200000,1759276800000,,E64,1712707200000,1719187200000,1724112000000,1658.6766179373342
14838,0,0,0,0,0,0.31439365,0.0,0.0,Received Third Cut,CAMP CREEK,MILL RIDGE DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766418437000,EAST,DITCH,1747180800000,1755475200000,1759363200000,,E66,1712707200000,1718841600000,1724198400000,1659.9984524717356
14839,0,0,0,0,0,0.68584557,0.0,0.0,Received First Cut,OLIVER CREEK,HALCYON DR, , ,NPJACKSON,1740667602000,,,NPJACKSON,1752263333000,TRACTOR,TRACTOR,1746662400000,,,,T07,,,,3621.2645863442785
14840,0,0,0,0,0,0.17775462,0.0,0.0,Received Third Cut,OLIVER CREEK,HALCYON FOREST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765552352000,EAST,DITCH,1746662400000,1754524800000,1758672000000,,E55,1718064000000,1723507200000,1730764800000,938.5444152597827
14841,0,0,0,0,0,1.46458068,0.0,0.0,Received Third Cut,OLIVER CREEK,COPPERFIELD DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765551627000,EAST,DITCH,1747353600000,1754438400000,1758585600000,,E52,1711584000000,1717459200000,1723420800000,7732.985980709189
14842,0,0,0,0,0,0.42310509,0.0,0.0,Received Third Cut,OLIVER CREEK,ST LUKES DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765551574000,EAST,DITCH,1747008000000,1754352000000,1758585600000,,E51,1711584000000,1717459200000,1723075200000,2233.994874375345
14843,0,0,0,0,0,0.36687316,0.0,0.0,Received Third Cut,OLIVER CREEK,TAYLOR CROSSING, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765550546000,EAST,DITCH,1745280000000,1753228800000,1758067200000,,E42,1710806400000,1722384000000,1722470400000,1937.0903019481673
14844,0,0,0,0,0,0.31937506,0.0,0.0,Received Third Cut,OLIVER CREEK,SANDFIELD DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765550587000,EAST,DITCH,1745366400000,1753920000000,1758067200000,,E43,1710806400000,1716422400000,1722470400000,1686.300335577806
14845,0,0,0,0,0,1.20781209,0.0,0.0,Received Third Cut,JENKINS CREEK,OLDFIELD RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765551167000,EAST,DITCH,1746403200000,1754352000000,1758585600000,,E47,1711497600000,1722988800000,,6377.247841067094
14846,1,0,0,0,0,1.5099569,0.0,0.0,Received Third Cut,WARES FERRY DITCH,RAY DR/HYDE PARK, ,WARES FERRY DITCH,NPJACKSON,1740667602000,,,ABENEFIELD,1765401660000,NORTH,DITCH,1743724800000,1755561600000,1758585600000,,C20,,,,5825.942496657664
14847,4,0,0,0,0,0.39059215,0.0,0.0,Received Third Cut,WARES FERRY DITCH,NORTHWESTERN RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766424761000,NORTH,DITCH,1747180800000,1756339200000,1761177600000,,N49,,,,2062.3265541624496
14848,4,0,0,0,0,0.13377057,0.0,0.0,Received Third Cut,WARES FERRY DITCH,E RUTGERS LOOP, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766424736000,NORTH,DITCH,1747180800000,1756252800000,1761091200000,,N48,,,,706.3086263971029
14849,0,0,0,0,0,0.45069772,0.0,0.0,Received Third Cut,WARES FERRY DITCH,HANDEL DR - DENA CT, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1765405083000,EAST,DITCH,1745020800000,1752105600000,1758240000000,,E33,1709683200000,1715644800000,1726012800000,2379.683982340782
14850,4,0,0,0,0,0.55145482,0.0,0.0,Received Third Cut,WARES FERRY DITCH,CHATSWORTH DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766424236000,NORTH,DITCH,1745539200000,1754524800000,1760486400000,,N35,,,,2911.681445948184
14851,0,0,0,0,0,1.07925175,0.0,0.0,Received Third Cut,WARES FERRY DITCH,GUNTER PARK DR W, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766425052000,NORTH,DITCH,1752192000000,1755820800000,1761782400000,,N64,,,,5698.449251401955
14852,4,0,0,0,0,0.06676554,0.0,0.0,Received Third Cut,WARES FERRY DITCH,BEARDSLEY DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766424110000,NORTH,DITCH,1744156800000,1754611200000,1760054400000,,N32,,,,352.52204943914705
14853,4,0,0,0,0,0.53706124,0.0,0.0,Received Third Cut,WARES FERRY DITCH,ROYAL CREST-BERKSHIRE DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766424080000,NORTH,DITCH,1745539200000,1754438400000,1760054400000,,N31,,,,2835.6833378485308
14854,4,0,0,0,0,0.10461056,0.0,0.0,Received Third Cut,WARES FERRY DITCH,CEDRIC CT-LYMAN CT, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766424054000,NORTH,DITCH,1745539200000,1754438400000,1759968000000,,N30,,,,552.3437693403606
14855,4,0,0,0,0,0.27011788,0.0,0.0,Received Third Cut,WARES FERRY DITCH,MARIE COOK DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1766424209000,NORTH,DITCH,1745539200000,1754524800000,1760486400000,,N34,,,,1426.2223816093376
14856,0,0,0,0,0,0.50783642,0.0,0.0,Received Third Cut,GENETTA DITCH,YOUNG DR @ MOBILE HWY, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1742256000000,1749600000000,1753056000000,,W12,1713312000000,1721001600000,,2681.3762881303887
14857,0,0,0,0,0,0.25525518,0.0,0.0,Received Second Cut,CANEY BRANCH,RIVIERA RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416640000,WEST,DITCH,1745884800000,1755475200000,,,W63,1712534400000,1715126400000,1719187200000,1347.7473274412748
14858,0,0,0,0,0,0.18990968,0.0,0.0,Received Third Cut,CANEY BRANCH,PIEDMONT DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1745971200000,1752451200000,1756252800000,,W65,1715126400000,1719187200000,1722902400000,1002.7231180832877
14859,0,0,0,0,0,0.24701351,0.0,0.0,Received Third Cut,CANEY BRANCH,GATEWAY DR, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1745884800000,1752451200000,1756252800000,,W64,1712534400000,1715126400000,1719187200000,1304.2313546124778
14860,0,0,0,0,0,0.44430991,0.0,0.0,Received Second Cut,WEST END DITCH,BELL ST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416576000,WEST,DITCH,1745366400000,1754352000000,,,W01,1710720000000,1714348800000,1718150400000,2345.9563080214166
14861,0,0,0,0,0,0.41641199,0.0,0.0,Received Third Cut,WEST END DITCH,SAMPSON ST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1742169600000,1749513600000,1752624000000,,W06,1712793600000,1720396800000,1724198400000,2198.655313297473
14862,0,0,0,0,0,0.0861486,0.0,0.0,Received Third Cut,WEST END DITCH,MILL ST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1742860800000,1750636800000,1753315200000,,W20,1710115200000,1713398400000,1725321600000,454.8645881135895
14863,0,0,0,0,0,0.0,0.0,0.0,Received Second Cut,WEST END DITCH,DAY STREET RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1752757780000,TRACTOR,TRACTOR,1742342400000,1752537600000,,,T04,1712016000000,1726012800000,,801.3205673254253
14864,0,0,0,0,0,0.37297631,0.0,0.0,Received Third Cut,WEST END DITCH,TERMINAL RD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1742342400000,1750032000000,1753228800000,,W15,1709683200000,1721001600000,,1969.3148983704602
14865,0,0,0,0,0,0.91172525,0.0,0.0,Received Third Cut,WEST END DITCH,GIBBS VILLAGE, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1742256000000,1749600000000,1753142400000,,W14,1709596800000,1720656000000,,4022.0655885019514
14866,0,0,0,0,0,0.21252669,0.0,0.0,Received Third Cut,WEST END DITCH,HICKMAN ST/SANDY ST, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1742256000000,1749600000000,1753142400000,,W13,1713312000000,1720656000000,,1122.1409199905531
14867,0,0,0,0,0,0.76343871,0.0,0.0,Received Third Cut,WEST END DITCH,AIRBASE BLVD, , ,NPJACKSON,1740667602000,,,ABENEFIELD,1756416707000,WEST,DITCH,1743033600000,1749513600000,1752624000000,,W08,1712188800000,1715817600000,1720396800000,4030.95637707198
