X,Y,OBJECTID,OBJECTID_1,NAME,FIPS,ENRLMT,SCH_ENRL,enr,Address,City,TELEPHONE,ZIP,TAZ_2035LR,TAZ_2030LR,EMPLOY,Enroll,Level_,BUFF_DIST,LASTUPDATE,created_user,created_date,last_edited_user,last_edited_date,SchoolType,New
-9608367.53831409,3811032.95776792,15,,ED Nixon Elementary School,01101,474,0,474,1000 Edgar D Nixon Ave,Montgomery,(334) 223-6700,36104,26,26,49,474,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9600813.77257701,3813309.99125069,16,,Goodwyn Middle School,01101,588,0,588,209 Perry Hill Road,Montgomery,(334) 260-1021,36109,208,208,58,497,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9604768.09864417,3812169.38898603,17,,Highland Avenue Elementary School,01101,418,39,418,2024 Highland Ave.,Montgomery,(334) 269-3690,36107,61,61,41,463,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9604519.15352326,3815781.72750298,18,,Highland Gardens Elementary School,01101,443,64,443,2801 Willena Ave,Montgomery,(334) 269-3685,36107,76,76,49,445,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9600989.21306504,3806837.06362879,19,,Loveless Academic Magnet Program High School, ,496,0,496,3440 McGehee Rd,Montgomery,(334) 284-7500,36111,93,93,42,499,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9610037.47783901,3811560.93729131,20,,TS Morris Elementary School,01101,551,0,551,801 Hill St.,Montgomery,(334) 223-6920,36108,93,93,44,559,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9593426.42478669,3814692.83068302,21,,Garrett Elementary School,01101,554,0,554,555 McLemore Drive,Montgomery,(334) 260-1090,36117,258,258,54,584,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9602418.06133605,3809532.33944473,22,,The Montgomery Academy Mid/High - Vaughn Campus,01101,567,0,571,3240 Vaughn Road,Montgomery,(334) 272-8210,36106,128,128,90,0,Middle & High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9597529.45608221,3808204.14625589,23,,Montgomery Catholic Prep High School,01101,257,0,290,5350 Vaughn Road,Montgomery,(334) 272-7220,36116,196,196,50,0,Junior to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9603224.82078215,3814492.87783681,24,,Morningview Elementary School,01101,553,0,553,2849 Pelzer Ave,Montgomery,(334) 260-1028,36109,78,78,51,543,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9605474.3384333,3819208.68938238,25,,Resurrection Catholic School,01101,105,0,208,2815 Forbes Drive,Montgomery,(334) 263-4221,36110,267,267,190,0,Elementary to Middle Sch,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9604928.27530172,3804975.75370805,26,,Seth Johnson Elementary School,01101,494,0,494,4550 Narrow Lane Road,Montgomery,(334) 284-8016,36116,116,116,46,473,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9611680.75290059,3802999.85208089,27,,Southlawn Elementary School,01101,287,0,287,5225 Patricia Lane,Montgomery,(334) 284-8028,36108,228,228,32,278,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9599530.19072413,3809044.75125876,28,,Vaughn Road  Elementary School,01101,528,0,528,4407 Vaughn Road,Montgomery,(334) 260-1031,36106,192,192,52,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9594616.47939243,3816035.13773386,29,,Wares Ferry Road Elementary School,01101,386,0,386,6425 Wares Ferry Road,Montgomery,(334) 260-1036,36117,217,217,37,413,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9610717.21995658,3809159.11079827,30,,Carver Elementary/Arts Magnet School, ,445,0,445,3100 Mobile Dr,Montgomery,(334) 269-3625,36108,168,168,47,451,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9599895.19301471,3803115.55074978,31,,Fitzpatrick Elementary School, ,584,0,584,4055 Fitzpatrick Blvd.,Montgomery,(334) 284-8044,36116,186,186,51,523,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9591674.41397868,3809715.59960622,32,,Halcyon Elementary School, ,657,66,657,1501 Parkview Drive S.,Montgomery,(334) 271-9000,36117,386,256,52,520,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9616223.11142156,3804034.50973986,33,,Martin Luther King Elementary, ,417,0,417,4655 Gateway Drive,Montgomery,(334) 284-8080,36108,226,226,137,417,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9601681.93759202,3801975.73684735,34,,McKee Middle School, ,818,0,818,4017 McInnis Road,Montgomery,(334) 284-7528,36116,173,173,88,773,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9612289.37316595,3802961.73570841,35,,Southlawn Middle School, ,624,0,624,5333 Mobile Highway,Montgomery,(334) 284-8086,36108,228,228,58,542,Middle School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9597775.91558699,3814392.94350075,36,,Alabama Christian Academy, ,750,0,750,4700 Wares Ferry Road,Montgomery,(334) 277-1985,36109,140,140,100,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9590865.19784504,3807016.2999863,37,,Churchill Academy, ,80,0,125,395 Ray Thorington Road,Montgomery,(334) 270-4225,36117,239,239,20,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9599358.44603026,3809871.87172401,38,,Eastwood Christian School, ,107,0,260,1701 E. Trinity Blvd,Montgomery,(334) 272-8195,36106,192,192,33,260,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9595324.19649621,3806765.53905856,39,,Lighthouse Christian Academy, ,250,0,250,3570 Bell Road,Montgomery,(334) 271-4200,36116,236,236,24,0,Elementary to Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2023/10/07 00:08:35+00,PRIVATE,PRIVATE School
-9607193.09945907,3811176.72425701,40,,Montessori Academy, ,51,0,37,1025 S Hull St,Montgomery,(334) 262-8685,36104,191,191,6,0,12 Months to Kindergarten,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9588206.09962546,3804158.88535656,41,,Blount Elementary School, ,606,0,606,1650 Ray Thorington Road,Montgomery,(334) 244-0078,36117,238,238,55,406,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9600764.61332318,3810244.94996835,42,,The Montgomery Academy Elementary - Hill Campus, ,325,0,279,1550 Perry Hill Road,Montgomery,(334) 273-7170,36106,127,127,40,0,K-5 Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9597836.81018943,3805407.28871309,43,,Brewbaker Primary School, ,807,0,807,4445 Brewbaker Drive,Montgomery,(334) 284-8005,36116,197,197,68,634,Elementary PK-2nd Grade,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9599262.84992693,3808758.0144985,44,,Success Unlimited Academy - Lower Campus, ,0,0,40,4500 Vaughn Rd,Montgomery,(334) 676-1629,36106,202,202,6,0,K4 to Middle,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9610724.4188279,3813113.12369234,45,,Maxwell AFB Elementary & Middle School, ,0,0,439,800 Magnolia Blvd,Maxwell AFB,(334) 953-7570,36112,220,220,0,0,Elementary & Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9605144.35398908,3812315.72763526,46,,Bethany Christian Academy, ,0,0, ,1765 Highland Avenue,Montgomery,(334) 264-1078,36107, , ,0,0,Elementary to Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9608545.9690778,3810971.91110488,47,,Browns Private School, ,0,0, ,1130 Bellview Street,Montgomery,(334) 264-2971,36116, , ,0,0,Elementrary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9603220.33165276,3814375.91133995,48,,Cornerstone Christian Academy, ,0,0, ,125 Calhoun Road,Montgomery,(334) 356-7788,36109, , ,0,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9600339.01962866,3809265.83193309,49,,Evangel Christian Academy, ,0,0, ,3975 Vaughn Road,Montgomery,(334)272-3882,36106, , ,0,0,Elementary to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9601086.74538896,3813653.40714083,50,,Montgomery Catholic Prep School (St. Bede Campus), ,0,0, ,3850 Atlanta Highway,Montgomery,(334) 272-3033,36109, , ,0,0,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9599483.88726022,3809811.67516521,51,,Trinity Presbyterian School, ,0,0, ,1700 East Trinity Boulevard,Montgomery,(334) 213-2100,36106, , ,0,0,K3 to High School,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9590180.07130232,3803457.52403189,52,,Wilson Elementary, ,552,0,552,8900 Park Crossing Dr,Montgomery,(334) 272-8819,36116, , ,47,469,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9612091.98440266,3813810.61463694,53,,Air University,01101,0,0,24408,600 Chennault Cir # 1405,Maxwell AFB,(334) 953-2888,36112,220,220,0,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
-9597730.32190447,3813904.44648498,54,,Faulkner University,01101,2928,0,1780,5345 Atlanta Highway,Montgomery,(334) 272-5820,36109,140,140,240,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
-9606394.11065659,3811321.17585401,55,,Alabama State University,01101,1553,0,5469,915 S. Jackson St.,Montgomery,(334) 229-4100,36104,46,46,1000,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
-9593242.1997882,3811624.10981022,56,,Auburn University at Montgomery,01101,5500,0,5128,7440 East Dr,Montgomery,(334) 244-3000,36116,260,260,1237,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
-9609646.23369673,3809199.97202725,57,,Carver High School,01101,1322,0,1322,2001 W. Fairview Ave.,Montgomery,(334) 269-3636,36108,168,168,121,1224,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9605236.39617222,3809402.0134541,58,,Huntingdon College,01101,705,150,790,1500 E. Fairview Ave,Montgomery,(334) 833-4431,36106,41,41,150,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
-9602654.21274326,3808422.46933822,59,,Jefferson Davis High School,01101,2013,172,2013,3420 Carter Hill Road,Montgomery,(334) 269-3712,36111,123,123,155,1889,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9607981.91137255,3810116.54198521,60,,Sidney Lanier High School,01101,848,0,848,1756 S Court St,Montgomery,(334) 269-3726,36108,35,35,58,1005,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9603747.76417346,3813100.03965955,61,,Robert E. Lee High School,01101,1565,0,1565,225  Ann St.,Montgomery,(334) 269-3742,36107,58,58,155,1514,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9611668.96506572,3809364.85126464,62,,Trenholm State Technical College,01101,550,0,602,1225 Air Base Blvd,Montgomery,(334) 420-4200,36108,166,166,120,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
-9597868.60569414,3805882.90057736,63,,Brewbaker Technology Magnet High School, ,568,0,568,4405 Brewbaker Drive,Montgomery,(334) 284-7100,36116,197,197,53,578,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9597577.38090994,3808378.14959484,64,,South University, ,210,0,363,5355 Vaughn Rd,Montgomery,(334) 395-8800,36117,199,199,70,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
-9592848.7136883,3811019.43535984,65,,Amridge University, ,144,0,22,1200 Taylor Rd,Montgomery,(334) 387-7991,36117,260,260,50,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
-9608066.62930598,3812799.44372965,66,,Troy State University Montgomery, ,3455,0,4257,231 Montgomery St,Montgomery,(334) 241-9495,36117,1,1,100,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
-9608248.0993793,3812782.63750768,67,,Troy State University School of Nursing, ,336,0,440,340 Montgomery St,Montgomery,(334) 834-2320,36104,2,2,50,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
-9600281.32124904,3805986.16060374,68,,Trenholm State Technical College (Patterson Campus), ,0,0,796,3920 Troy Highway,Montgomery,(334) 420-4200,36116,175,175,0,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC College
-9599399.49101792,3807542.6478696,69,,Success Unlimited Academy - Upper Campus, ,0,0, ,2328 Fairlane Drive,Montgomery,(334) 213-0803,36116, , ,0,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9592774.52590079,3804562.96066067,70,,Park Crossing High School, ,958,0,958,8000 Park Crossing,Montgomery,(334) 260-8121,36117, , ,73,1321,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9588459.28253283,3804374.23706689,71,,Johnnie R. Carr Middle School, ,883,0,883,1610 Ray Thorington Road,Montgomery,(334) 244-4005,36117,0,0,65,792,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9604944.12586307,3813881.71158197,72,,Children's Center, ,91,0,91,310 N Madison Ter,Montgomery,(334) 262-4850,36107, , ,52,94,Elementary to High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9590403.40105779,3807691.86903636,73,,Montgomery Catholic Prep School (Holy Spirit Campus), ,0,0, ,8580 Vaughn Rd,Montgomery,(334) 649-4404,36117, , ,0,0,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9601812.90298702,3802040.42057804,74,,MacMillan International Academy Pre-K, ,364,0,364,4015 Mcinnis Rd,Montgomery,(334) 284-7137,36116, , ,29,375,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9600987.25319932,3806682.29505674,75,,Montgomery Prep Academy for Career Technologies (MPACT), ,212,0,212,2901 E. South Boulevard,Montgomery,(334) 613-9177,36116, , ,27,0,High School,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9595419.90402731,3813484.37840854,76,,Frazer Memorial Christian Kindergarten, ,0,0, ,6000 Atlanta Hwy,Montgomery,(334) 279-0271,36117, , ,0,0,6 Months to 5 year old K,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9601534.58567755,3807653.14477914,77,,Montgomery Christian School, ,0,0, ,3265 McGehee Rd,Montgomery,(334) 386-1749,36111, , ,0,0,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9597582.73502143,3813738.03565851,78,,Jones School of Law At Faulkner U., ,0,0, ,5345 ATLANTA HWY,Montgomery,(334) 386-7210,36109, , ,0,0,Graduate,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE College
-9601527.71353545,3813809.95437729,79,,Fortis College, ,0,0, ,3736 ATLANTA HWY,Montgomery,(334) 272-3857,36109, , ,0,0,PRIVATE College,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PRIVATE,PRIVATE School
-9607442.44993303,3812399.09971608,80,,Baldwin Arts/Academic Middle Magnet School,01101,555,0,555,410 S. McDonough St.,Montgomery,(334)269-3870,36104,10,10,46,554,Junior High,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9601742.89815081,3801938.04604623,81,,MacMillan International Baccalaureate Academy, ,0,0, ,4015 McInnis Rd,Montgomery,(334) 284-7137,36116,173,173,88,773,Elementary,2640,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9601765.48637815,3801956.80984218,82,,"MacMillan International Academy for Hum, Comm, Tech", ,364,0,364,4015 Mcinnis Rd,Montgomery,(334) 284-7137,36116, , ,29,375,Elementary,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9605893.49476021,3812947.32204101,83,,Floyd Middle Magnet School, ,0,0, ,215 HALL ST,Montgomery,(334) 284-7130,36104, , ,0,0,Junior High,0,6/29/2022 - JA - Verified,ABOWEN,2022/07/15 21:39:46+00,ABOWEN,2022/07/15 21:39:46+00,PUBLIC,PUBLIC School
-9595648.46877513,3805654.27910048,84,,Booker T. Washington Magnet High School,,366,366,366,4400 Bell Rd,Montgomery,,36116,,,,366,High School,,ANB - New Location Open,ABOWEN,2023/10/06 18:42:35+00,ABOWEN,2023/10/06 19:49:25+00,PUBLIC,PUBLIC School
